Condition,TreatmentNum,H2O2,CFU,cells_mL,Line
Control,Treatment 01,w/o ROS 0 mM,2120000,18666666.67,D
Control,Treatment 01,w/o ROS 0 mM,1910000,2.80E+07,E
Control,Treatment 01,w/o ROS 0 mM,1870000,2.40E+07,F
Control,Treatment 01,w/o ROS 5 mM,2.00E+05,1.20E+07,D
Control,Treatment 01,w/o ROS 5 mM,290000,1.10E+07,E
Control,Treatment 01,w/o ROS 5 mM,250000,1.30E+07,F
Control,Treatment 01,w/o ROS 10 mM,30000,7.00E+05,D
Control,Treatment 01,w/o ROS 10 mM,50000,8.00E+05,E
Control,Treatment 01,w/o ROS 10 mM,50000,9.00E+05,F
H2O2,Treatment 01,0 mM,2150000,3.30E+07,A
H2O2,Treatment 01,0 mM,1810000,2.50E+07,B
H2O2,Treatment 01,0 mM,2030000,3.70E+07,C
H2O2,Treatment 01,5 mM,650000,1.80E+07,A
H2O2,Treatment 01,5 mM,6.00E+05,17333333.33,B
H2O2,Treatment 01,5 mM,670000,13333333.33,C
H2O2,Treatment 01,10 mM,140000,9.00E+05,A
H2O2,Treatment 01,10 mM,70000,8.00E+05,B
H2O2,Treatment 01,10 mM,90000,6.00E+05,C
Control,Treatment 02,w/o ROS 0 mM,1730000,2.00E+07,D
Control,Treatment 02,w/o ROS 0 mM,1850000,21333333.33,E
Control,Treatment 02,w/o ROS 0 mM,1910000,16666666.67,F
Control,Treatment 02,w/o ROS 5 mM,350000,1.10E+07,D
Control,Treatment 02,w/o ROS 5 mM,230000,1.00E+07,E
Control,Treatment 02,w/o ROS 5 mM,340000,1.40E+07,F
Control,Treatment 02,w/o ROS 10 mM,30000,6.00E+05,D
Control,Treatment 02,w/o ROS 10 mM,80000,5.00E+05,E
Control,Treatment 02,w/o ROS 10 mM,40000,1100000,F
H2O2,Treatment 02,0 mM,1870000,3.00E+07,A
H2O2,Treatment 02,0 mM,2140000,2.30E+07,B
H2O2,Treatment 02,0 mM,1750000,2.50E+07,C
H2O2,Treatment 02,5 mM,780000,10666666.67,A
H2O2,Treatment 02,5 mM,840000,17333333.33,B
H2O2,Treatment 02,5 mM,810000,1.60E+07,C
H2O2,Treatment 02,10 mM,60000,1400000,A
H2O2,Treatment 02,10 mM,140000,1900000,B
H2O2,Treatment 02,10 mM,130000,8.00E+05,C
Control,Treatment 03,w/o ROS 0 mM,1800000,19333333.33,D
Control,Treatment 03,w/o ROS 0 mM,2040000,1.70E+07,E
Control,Treatment 03,w/o ROS 0 mM,1960000,1.30E+07,F
Control,Treatment 03,w/o ROS 5 mM,380000,1.20E+07,D
Control,Treatment 03,w/o ROS 5 mM,440000,1.40E+07,E
Control,Treatment 03,w/o ROS 5 mM,480000,1.60E+07,F
Control,Treatment 03,w/o ROS 10 mM,0,4.00E+06,D
Control,Treatment 03,w/o ROS 10 mM,40000,4.00E+06,E
Control,Treatment 03,w/o ROS 10 mM,80000,7.00E+06,F
H2O2,Treatment 03,0 mM,1920000,3.20E+07,A
H2O2,Treatment 03,0 mM,2360000,2.40E+07,B
H2O2,Treatment 03,0 mM,1920000,2.90E+07,C
