#Pot,#Plant,Strain,1_No_symptom,2_Chlorosis,3_Ligula_swelling,4_Small_tumors,5_Normal_tumors,6_Heavy_tumors_stem,7_Heavy_tumors,8_Dead_Plant,
1,1,SG200,0,1,1,1,1,0,0,0,4
1,2,SG200,0,0,0,0,0,0,0,1,1
1,3,SG200,0,0,0,0,0,0,0,1,1
1,4,SG200,0,1,1,1,1,1,0,0,5
1,5,SG200,0,0,0,0,0,1,0,1,2
1,6,SG200,0,0,0,0,0,1,0,1,2
1,7,SG200,0,0,0,0,0,1,0,1,2
1,8,SG200,0,0,0,0,0,1,0,1,2
1,9,SG200,0,1,1,1,1,1,1,0,6
2,10,SG200,0,0,0,0,0,0,0,1,1
2,11,SG200,0,0,1,0,1,0,0,0,2
2,12,SG200,0,1,0,1,0,0,0,0,2
2,13,SG200,1,0,0,0,0,0,0,0,1
2,14,SG200,0,0,0,0,1,1,0,0,2
2,15,SG200,0,0,0,0,1,1,0,0,2
2,16,SG200,0,0,0,0,0,0,0,1,1
2,17,SG200,0,0,0,0,0,0,0,1,1
3,18,SG200,1,0,0,0,0,0,0,0,1
3,19,SG200,1,0,0,0,0,0,0,0,1
3,20,SG200,0,0,1,0,1,0,0,0,2
3,21,SG200,0,0,0,0,0,1,0,0,1
3,22,SG200,0,0,0,0,0,0,0,1,1
3,23,SG200,0,0,1,0,0,0,0,0,1
3,24,SG200,0,0,0,0,0,0,0,1,1
3,25,SG200,0,0,0,0,0,1,0,0,1
4,26,SG200,1,0,0,0,0,0,0,0,1
4,27,SG200,0,1,1,0,0,0,0,0,2
4,28,SG200,1,0,0,0,0,0,0,0,1
4,29,SG200,0,1,0,0,0,0,0,0,1
4,30,SG200,1,0,0,0,0,0,0,0,1
4,31,SG200,0,1,1,1,1,0,0,0,4
4,32,SG200,0,1,0,1,1,0,0,0,3
5,33,SG200,0,1,0,1,1,0,1,0,4
5,34,SG200,0,1,1,1,1,1,0,0,5
5,35,SG200,0,1,0,0,1,0,1,0,3
5,36,SG200,0,1,1,1,1,0,1,0,5
5,37,SG200,0,1,1,1,1,0,1,0,5
5,38,SG200,0,1,1,0,1,0,1,0,4
5,39,SG200,1,0,0,0,0,0,0,0,1
5,40,SG200,1,0,0,0,0,0,0,0,1
6,41,SG200,0,1,1,0,0,0,0,0,2
6,42,SG200,0,0,0,0,0,1,1,0,2
6,43,SG200,0,0,0,0,0,0,0,1,1
6,44,SG200,0,0,0,0,0,1,0,1,2
6,45,SG200,0,0,0,0,0,1,0,0,1
6,46,SG200,0,0,0,0,0,0,0,1,1
6,47,SG200,0,0,0,0,0,0,0,1,1
7,1,oexCAT,0,1,0,1,0,0,0,0,2
7,2,oexCAT,0,0,1,0,0,0,0,1,2
7,3,oexCAT,1,0,0,0,0,0,0,0,1
7,4,oexCAT,0,0,1,1,0,0,0,1,3
7,5,oexCAT,0,0,0,0,0,0,1,0,1
7,6,oexCAT,0,0,0,0,1,1,0,0,2
7,7,oexCAT,1,0,0,0,0,0,0,0,1
7,8,oexCAT,1,0,0,0,0,0,0,0,1
7,9,oexCAT,0,0,1,1,1,1,0,1,5
8,10,oexCAT,0,0,0,1,1,0,0,0,2
8,11,oexCAT,0,0,0,1,0,0,0,0,1
8,12,oexCAT,1,0,0,0,0,0,0,0,1
8,13,oexCAT,1,0,0,0,0,0,0,0,1
8,14,oexCAT,0,0,1,1,0,0,0,0,2
8,15,oexCAT,0,0,1,1,1,0,0,0,3
8,16,oexCAT,0,1,0,1,0,0,0,0,2
8,17,oexCAT,1,0,0,0,0,0,0,0,1
8,18,oexCAT,1,0,0,0,0,0,0,0,1
8,19,oexCAT,0,0,1,1,0,0,0,0,2
9,20,oexCAT,0,0,0,0,0,1,0,1,2
9,21,oexCAT,0,0,1,1,1,0,0,0,3
9,22,oexCAT,0,1,1,1,1,0,0,0,4
9,23,oexCAT,0,1,1,1,1,0,0,0,4
9,24,oexCAT,0,1,0,1,1,0,0,0,3
9,25,oexCAT,0,1,0,1,1,0,1,0,4
9,26,oexCAT,1,0,0,0,0,0,0,0,1
9,27,oexCAT,0,1,1,1,1,0,0,0,4
10,28,oexCAT,0,1,0,1,1,1,0,0,4
10,29,oexCAT,0,1,1,0,0,0,0,0,2
10,30,oexCAT,1,0,0,0,0,0,0,0,1
10,31,oexCAT,0,1,1,1,0,0,0,0,3
10,32,oexCAT,0,1,1,1,1,0,0,0,4
10,33,oexCAT,0,1,1,1,1,1,1,0,6
10,34,oexCAT,1,0,0,0,0,0,0,0,1
10,35,oexCAT,0,1,0,1,1,1,0,0,4
11,36,oexCAT,1,0,0,0,0,0,0,0,1
11,37,oexCAT,0,1,1,1,1,0,0,0,4
11,38,oexCAT,1,0,0,0,0,0,0,0,1
11,39,oexCAT,0,1,0,1,1,0,0,0,3
11,40,oexCAT,1,0,0,0,0,0,0,0,1
11,41,oexCAT,1,0,0,0,0,0,0,0,1
11,42,oexCAT,0,0,1,1,0,0,0,0,2
12,43,oexCAT,1,0,0,0,0,0,0,0,1
12,44,oexCAT,1,0,0,0,0,0,0,0,1
12,45,oexCAT,0,1,1,1,1,0,0,0,4
12,46,oexCAT,0,1,0,1,1,0,0,0,3
12,47,oexCAT,0,0,1,1,1,0,0,0,3
12,48,oexCAT,0,1,1,1,1,0,0,0,4
12,49,oexCAT,0,0,0,1,1,0,0,0,2
12,50,oexCAT,0,0,0,1,1,0,0,0,2
13,51,oexCAT,0,1,0,1,1,1,0,0,4
13,52,oexCAT,0,0,0,0,0,1,0,0,1
13,53,oexCAT,1,0,0,0,0,0,0,0,1
13,54,oexCAT,1,0,0,0,0,0,0,0,1
13,55,oexCAT,0,0,0,1,1,0,1,0,3
13,56,oexCAT,0,1,0,1,1,1,0,0,4
13,57,oexCAT,0,0,0,1,1,0,0,0,2
13,58,oexCAT,0,1,1,1,1,0,0,0,4
13,59,oexCAT,1,0,0,0,0,0,0,0,1
14,1,LC.1,0,1,1,1,1,1,0,0,5
14,2,LC.1,0,1,1,1,1,1,0,0,5
14,3,LC.1,0,1,0,1,1,1,0,0,4
14,4,LC.1,1,0,0,0,0,0,0,0,1
14,5,LC.1,1,0,0,0,0,0,0,0,1
14,6,LC.1,0,1,1,1,0,0,0,0,3
