SampleID,SampleName,LibraryID,Number,BiosampleAccession,BioprojectAccession,Study,LibraryLayout,Platform,InstrumentModel
2021EE01,USMA_SG200,USMA_2021EE01,SRR25650020,SAMN36998939,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE02,T10.LA.C1,USMA_2021EE02,SRR25650019,SAMN36998940,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE03,T10.LB.C1,USMA_2021EE03,SRR25650008,SAMN36998941,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE04,T10.LC.C1,USMA_2021EE04,SRR25649997,SAMN36998942,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE05,U20.LD.C1,USMA_2021EE05,SRR25649993,SAMN36998943,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE06,U20.LE.C1,USMA_2021EE06,SRR25649992,SAMN36998944,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE07,U20.LF.C1,USMA_2021EE07,SRR25649991,SAMN36998945,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE08,T20.LA.C1,USMA_2021EE08,SRR25649990,SAMN36998946,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE09,T20.LA.C2,USMA_2021EE09,SRR25649989,SAMN36998947,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE10,T20.LA.C3,USMA_2021EE10,SRR25649988,SAMN36998948,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE11,T20.LA.C4,USMA_2021EE11,SRR25650018,SAMN36998949,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE12,T20.LA.C5,USMA_2021EE12,SRR25650017,SAMN36998950,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE13,T20.LB.C1,USMA_2021EE13,SRR25650016,SAMN36998951,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE14,T20.LB.C2,USMA_2021EE14,SRR25650015,SAMN36998952,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE15,T20.LB.C3,USMA_2021EE15,SRR25650014,SAMN36998953,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE16,T20.LB.C4,USMA_2021EE16,SRR25650013,SAMN36998954,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE17,T20.LB.C5,USMA_2021EE17,SRR25650012,SAMN36998955,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE18,T20.LC.C1,USMA_2021EE18,SRR25650011,SAMN36998956,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE19,T20.LC.C2,USMA_2021EE19,SRR25650010,SAMN36998957,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE20,T20.LC.C3,USMA_2021EE20,SRR25650009,SAMN36998958,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE21,T20.LC.C4,USMA_2021EE21,SRR25650007,SAMN36998959,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE22,T20.LC.C5,USMA_2021EE22,SRR25650006,SAMN36998960,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE25,U20.LD.2,USMA_2021EE25,SRR25650005,SAMN36998961,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE26,U20.LE.2,USMA_2021EE26,SRR25650004,SAMN36998962,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE27,U20.LF.2,USMA_2021EE27,SRR25650003,SAMN36998963,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE47,USMA_SG200,USMA_2021EE47,SRR25650002,SAMN36998964,PRJNA1005765,SRP455281,paired,ILLUMINA,NextSeq 550
2021EE30,T02.LC.Pool,USMA_2021EE30,SRR25650001,SAMN36998965,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE31,T03.LC.Pool,USMA_2021EE31,SRR25650000,SAMN36998966,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE32,T05.LC.Pool,USMA_2021EE32,SRR25649999,SAMN36998967,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE33,T07.LC.Pool,USMA_2021EE33,SRR25649998,SAMN36998968,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE34,T10.LC.Pool,USMA_2021EE34,SRR25649996,SAMN36998969,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE35,T14.LC.Pool,USMA_2021EE35,SRR25649995,SAMN36998970,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
2021EE36,T20.LC.Pool,USMA_2021EE36,SRR25649994,SAMN36998971,PRJNA1005765,SRP455281,paired,BGISEQ,DNBSEQ-G50
