chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	51.0	106.0	0.4811320754716981
USMA_521_v2_1	1001	2000	114.0	106.0	1.0754716981132075
USMA_521_v2_1	2001	3000	108.0	106.0	1.0188679245283019
USMA_521_v2_1	3001	4000	101.0	106.0	0.9528301886792453
USMA_521_v2_1	4001	5000	95.0	106.0	0.8962264150943396
USMA_521_v2_1	5001	6000	105.0	106.0	0.9905660377358491
USMA_521_v2_1	6001	7000	97.0	106.0	0.9150943396226415
USMA_521_v2_1	7001	8000	101.0	106.0	0.9528301886792453
USMA_521_v2_1	8001	9000	65.0	106.0	0.6132075471698113
USMA_521_v2_1	9001	10000	0.0	106.0	0.0
USMA_521_v2_1	10001	11000	93.0	106.0	0.8773584905660378
USMA_521_v2_1	11001	12000	111.0	106.0	1.0471698113207548
USMA_521_v2_1	12001	13000	106.0	106.0	1.0
USMA_521_v2_1	13001	14000	103.0	106.0	0.9716981132075472
USMA_521_v2_1	14001	15000	93.0	106.0	0.8773584905660378
USMA_521_v2_1	15001	16000	100.0	106.0	0.9433962264150944
USMA_521_v2_1	16001	17000	102.0	106.0	0.9622641509433962
USMA_521_v2_1	17001	18000	107.0	106.0	1.009433962264151
USMA_521_v2_1	18001	19000	89.0	106.0	0.839622641509434
USMA_521_v2_1	19001	20000	93.0	106.0	0.8773584905660378
USMA_521_v2_1	20001	21000	108.0	106.0	1.0188679245283019
USMA_521_v2_1	21001	22000	105.0	106.0	0.9905660377358491
USMA_521_v2_1	22001	23000	100.0	106.0	0.9433962264150944
USMA_521_v2_1	23001	24000	106.0	106.0	1.0
USMA_521_v2_1	24001	25000	123.0	106.0	1.1603773584905661
USMA_521_v2_1	25001	26000	109.0	106.0	1.028301886792453
USMA_521_v2_1	26001	27000	105.0	106.0	0.9905660377358491
USMA_521_v2_1	27001	28000	100.0	106.0	0.9433962264150944
USMA_521_v2_1	28001	29000	105.0	106.0	0.9905660377358491
USMA_521_v2_1	29001	30000	89.0	106.0	0.839622641509434
USMA_521_v2_1	30001	31000	99.0	106.0	0.9339622641509434
USMA_521_v2_1	31001	32000	99.0	106.0	0.9339622641509434
