chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	35.5	118.0	0.3008474576271186
USMA_521_v2_1	1001	2000	120.5	118.0	1.021186440677966
USMA_521_v2_1	2001	3000	118.0	118.0	1.0
USMA_521_v2_1	3001	4000	116.5	118.0	0.9872881355932204
USMA_521_v2_1	4001	5000	127.0	118.0	1.076271186440678
USMA_521_v2_1	5001	6000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	6001	7000	127.0	118.0	1.076271186440678
USMA_521_v2_1	7001	8000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	8001	9000	111.0	118.0	0.940677966101695
USMA_521_v2_1	9001	10000	0.0	118.0	0.0
USMA_521_v2_1	10001	11000	94.0	118.0	0.7966101694915254
USMA_521_v2_1	11001	12000	87.0	118.0	0.7372881355932204
USMA_521_v2_1	12001	13000	128.0	118.0	1.0847457627118644
USMA_521_v2_1	13001	14000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	14001	15000	128.5	118.0	1.0889830508474576
USMA_521_v2_1	15001	16000	143.0	118.0	1.2118644067796611
USMA_521_v2_1	16001	17000	133.0	118.0	1.1271186440677967
USMA_521_v2_1	17001	18000	113.5	118.0	0.961864406779661
USMA_521_v2_1	18001	19000	112.0	118.0	0.9491525423728814
USMA_521_v2_1	19001	20000	108.0	118.0	0.9152542372881356
USMA_521_v2_1	20001	21000	96.0	118.0	0.8135593220338984
USMA_521_v2_1	21001	22000	110.0	118.0	0.9322033898305084
USMA_521_v2_1	22001	23000	107.0	118.0	0.9067796610169492
USMA_521_v2_1	23001	24000	117.0	118.0	0.9915254237288136
USMA_521_v2_1	24001	25000	102.0	118.0	0.864406779661017
USMA_521_v2_1	25001	26000	116.0	118.0	0.9830508474576272
USMA_521_v2_1	26001	27000	123.0	118.0	1.0423728813559323
USMA_521_v2_1	27001	28000	124.0	118.0	1.0508474576271187
USMA_521_v2_1	28001	29000	135.0	118.0	1.1440677966101696
USMA_521_v2_1	29001	30000	149.0	118.0	1.2627118644067796
USMA_521_v2_1	30001	31000	123.0	118.0	1.0423728813559323
USMA_521_v2_1	31001	32000	108.0	118.0	0.9152542372881356
USMA_521_v2_1	32001	33000	104.0	118.0	0.8813559322033898
USMA_521_v2_1	33001	34000	108.0	118.0	0.9152542372881356
USMA_521_v2_1	34001	35000	103.0	118.0	0.8728813559322034
USMA_521_v2_1	35001	36000	132.0	118.0	1.11864406779661
USMA_521_v2_1	36001	37000	126.0	118.0	1.0677966101694916
USMA_521_v2_1	37001	38000	125.0	118.0	1.0593220338983051
USMA_521_v2_1	38001	39000	125.0	118.0	1.0593220338983051
USMA_521_v2_1	39001	40000	109.0	118.0	0.923728813559322
USMA_521_v2_1	40001	41000	99.0	118.0	0.8389830508474576
USMA_521_v2_1	41001	42000	126.0	118.0	1.0677966101694916
USMA_521_v2_1	42001	43000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	43001	44000	130.0	118.0	1.1016949152542372
USMA_521_v2_1	44001	45000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	45001	46000	102.0	118.0	0.864406779661017
USMA_521_v2_1	46001	47000	90.0	118.0	0.7627118644067796
USMA_521_v2_1	47001	48000	104.0	118.0	0.8813559322033898
USMA_521_v2_1	48001	49000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	49001	50000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	50001	51000	98.0	118.0	0.8305084745762712
USMA_521_v2_1	51001	52000	139.0	118.0	1.1779661016949152
USMA_521_v2_1	52001	53000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	53001	54000	154.0	118.0	1.305084745762712
USMA_521_v2_1	54001	55000	117.0	118.0	0.9915254237288136
USMA_521_v2_1	55001	56000	119.0	118.0	1.0084745762711864
USMA_521_v2_1	56001	57000	140.0	118.0	1.1864406779661016
USMA_521_v2_1	57001	58000	146.0	118.0	1.2372881355932204
USMA_521_v2_1	58001	59000	121.0	118.0	1.0254237288135593
USMA_521_v2_1	59001	60000	112.0	118.0	0.9491525423728814
USMA_521_v2_1	60001	61000	110.0	118.0	0.9322033898305084
USMA_521_v2_1	61001	62000	119.0	118.0	1.0084745762711864
USMA_521_v2_1	62001	63000	137.0	118.0	1.1610169491525424
USMA_521_v2_1	63001	64000	116.0	118.0	0.9830508474576272
USMA_521_v2_1	64001	65000	93.0	118.0	0.788135593220339
USMA_521_v2_1	65001	66000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	66001	67000	118.0	118.0	1.0
USMA_521_v2_1	67001	68000	106.0	118.0	0.8983050847457628
USMA_521_v2_1	68001	69000	128.5	118.0	1.0889830508474576
USMA_521_v2_1	69001	70000	118.0	118.0	1.0
USMA_521_v2_1	70001	71000	117.0	118.0	0.9915254237288136
USMA_521_v2_1	71001	72000	132.0	118.0	1.11864406779661
USMA_521_v2_1	72001	73000	137.0	118.0	1.1610169491525424
USMA_521_v2_1	73001	74000	113.5	118.0	0.961864406779661
USMA_521_v2_1	74001	75000	140.0	118.0	1.1864406779661016
USMA_521_v2_1	75001	76000	135.0	118.0	1.1440677966101696
USMA_521_v2_1	76001	77000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	77001	78000	112.0	118.0	0.9491525423728814
USMA_521_v2_1	78001	79000	125.0	118.0	1.0593220338983051
USMA_521_v2_1	79001	80000	96.0	118.0	0.8135593220338984
USMA_521_v2_1	80001	81000	100.0	118.0	0.847457627118644
USMA_521_v2_1	81001	82000	135.0	118.0	1.1440677966101696
USMA_521_v2_1	82001	83000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	83001	84000	111.0	118.0	0.940677966101695
USMA_521_v2_1	84001	85000	131.0	118.0	1.1101694915254237
USMA_521_v2_1	85001	86000	96.0	118.0	0.8135593220338984
USMA_521_v2_1	86001	87000	129.0	118.0	1.0932203389830508
USMA_521_v2_1	87001	88000	106.0	118.0	0.8983050847457628
USMA_521_v2_1	88001	89000	96.0	118.0	0.8135593220338984
USMA_521_v2_1	89001	90000	111.0	118.0	0.940677966101695
USMA_521_v2_1	90001	91000	103.0	118.0	0.8728813559322034
USMA_521_v2_1	91001	92000	103.0	118.0	0.8728813559322034
USMA_521_v2_1	92001	93000	127.0	118.0	1.076271186440678
USMA_521_v2_1	93001	94000	100.0	118.0	0.847457627118644
USMA_521_v2_1	94001	95000	106.5	118.0	0.902542372881356
USMA_521_v2_1	95001	96000	114.0	118.0	0.9661016949152542
USMA_521_v2_1	96001	97000	98.0	118.0	0.8305084745762712
USMA_521_v2_1	97001	98000	99.0	118.0	0.8389830508474576
USMA_521_v2_1	98001	99000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	99001	100000	112.0	118.0	0.9491525423728814
USMA_521_v2_1	100001	101000	129.0	118.0	1.0932203389830508
USMA_521_v2_1	101001	102000	118.0	118.0	1.0
USMA_521_v2_1	102001	103000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	103001	104000	136.0	118.0	1.152542372881356
USMA_521_v2_1	104001	105000	114.0	118.0	0.9661016949152542
USMA_521_v2_1	105001	106000	128.0	118.0	1.0847457627118644
USMA_521_v2_1	106001	107000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	107001	108000	102.0	118.0	0.864406779661017
USMA_521_v2_1	108001	109000	124.0	118.0	1.0508474576271187
USMA_521_v2_1	109001	110000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	110001	111000	99.0	118.0	0.8389830508474576
USMA_521_v2_1	111001	112000	122.0	118.0	1.0338983050847457
USMA_521_v2_1	112001	113000	124.0	118.0	1.0508474576271187
USMA_521_v2_1	113001	114000	113.0	118.0	0.9576271186440678
USMA_521_v2_1	114001	115000	116.0	118.0	0.9830508474576272
USMA_521_v2_1	115001	116000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	116001	117000	119.0	118.0	1.0084745762711864
USMA_521_v2_1	117001	118000	111.0	118.0	0.940677966101695
USMA_521_v2_1	118001	119000	139.0	118.0	1.1779661016949152
USMA_521_v2_1	119001	120000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	120001	121000	116.0	118.0	0.9830508474576272
USMA_521_v2_1	121001	122000	129.0	118.0	1.0932203389830508
USMA_521_v2_1	122001	123000	99.0	118.0	0.8389830508474576
USMA_521_v2_1	123001	124000	110.0	118.0	0.9322033898305084
USMA_521_v2_1	124001	125000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	125001	126000	137.0	118.0	1.1610169491525424
USMA_521_v2_1	126001	127000	129.0	118.0	1.0932203389830508
USMA_521_v2_1	127001	128000	113.0	118.0	0.9576271186440678
USMA_521_v2_1	128001	129000	116.0	118.0	0.9830508474576272
USMA_521_v2_1	129001	130000	123.0	118.0	1.0423728813559323
USMA_521_v2_1	130001	131000	133.0	118.0	1.1271186440677967
USMA_521_v2_1	131001	132000	138.0	118.0	1.1694915254237288
USMA_521_v2_1	132001	133000	131.0	118.0	1.1101694915254237
USMA_521_v2_1	133001	134000	118.0	118.0	1.0
USMA_521_v2_1	134001	135000	105.5	118.0	0.8940677966101694
USMA_521_v2_1	135001	136000	119.0	118.0	1.0084745762711864
USMA_521_v2_1	136001	137000	144.0	118.0	1.2203389830508475
USMA_521_v2_1	137001	138000	139.0	118.0	1.1779661016949152
USMA_521_v2_1	138001	139000	125.0	118.0	1.0593220338983051
USMA_521_v2_1	139001	140000	141.0	118.0	1.194915254237288
USMA_521_v2_1	140001	141000	136.0	118.0	1.152542372881356
USMA_521_v2_1	141001	142000	114.0	118.0	0.9661016949152542
USMA_521_v2_1	142001	143000	109.0	118.0	0.923728813559322
USMA_521_v2_1	143001	144000	119.0	118.0	1.0084745762711864
USMA_521_v2_1	144001	145000	121.0	118.0	1.0254237288135593
USMA_521_v2_1	145001	146000	114.0	118.0	0.9661016949152542
USMA_521_v2_1	146001	147000	116.5	118.0	0.9872881355932204
USMA_521_v2_1	147001	148000	123.0	118.0	1.0423728813559323
USMA_521_v2_1	148001	149000	120.0	118.0	1.0169491525423728
USMA_521_v2_1	149001	150000	114.0	118.0	0.9661016949152542
USMA_521_v2_1	150001	151000	127.0	118.0	1.076271186440678
USMA_521_v2_1	151001	152000	133.0	118.0	1.1271186440677967
USMA_521_v2_1	152001	153000	112.0	118.0	0.9491525423728814
USMA_521_v2_1	153001	154000	108.0	118.0	0.9152542372881356
USMA_521_v2_1	154001	155000	105.0	118.0	0.8898305084745762
USMA_521_v2_1	155001	156000	115.0	118.0	0.9745762711864406
USMA_521_v2_1	156001	157000	141.0	118.0	1.194915254237288
USMA_521_v2_1	157001	158000	92.0	118.0	0.7796610169491526
USMA_521_v2_1	158001	159000	138.0	118.0	1.1694915254237288
USMA_521_v2_1	159001	160000	117.0	118.0	0.9915254237288136
USMA_521_v2_1	160001	161000	106.0	118.0	0.8983050847457628
