chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	73.0	147.0	0.4965986394557823
USMA_521_v2_1	1001	2000	157.0	147.0	1.0680272108843538
USMA_521_v2_1	2001	3000	161.0	147.0	1.0952380952380953
USMA_521_v2_1	3001	4000	148.0	147.0	1.0068027210884354
USMA_521_v2_1	4001	5000	158.0	147.0	1.0748299319727892
USMA_521_v2_1	5001	6000	178.0	147.0	1.2108843537414966
USMA_521_v2_1	6001	7000	155.0	147.0	1.054421768707483
USMA_521_v2_1	7001	8000	166.0	147.0	1.129251700680272
USMA_521_v2_1	8001	9000	153.5	147.0	1.0442176870748299
USMA_521_v2_1	9001	10000	0.0	147.0	0.0
USMA_521_v2_1	10001	11000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	11001	12000	126.0	147.0	0.8571428571428571
USMA_521_v2_1	12001	13000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	13001	14000	146.0	147.0	0.9931972789115646
USMA_521_v2_1	14001	15000	161.0	147.0	1.0952380952380953
USMA_521_v2_1	15001	16000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	16001	17000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	17001	18000	141.0	147.0	0.9591836734693877
USMA_521_v2_1	18001	19000	148.0	147.0	1.0068027210884354
USMA_521_v2_1	19001	20000	167.0	147.0	1.1360544217687074
USMA_521_v2_1	20001	21000	147.0	147.0	1.0
USMA_521_v2_1	21001	22000	141.0	147.0	0.9591836734693877
USMA_521_v2_1	22001	23000	162.0	147.0	1.1020408163265305
USMA_521_v2_1	23001	24000	157.0	147.0	1.0680272108843538
USMA_521_v2_1	24001	25000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	25001	26000	147.0	147.0	1.0
USMA_521_v2_1	26001	27000	161.0	147.0	1.0952380952380953
USMA_521_v2_1	27001	28000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	28001	29000	166.0	147.0	1.129251700680272
USMA_521_v2_1	29001	30000	183.0	147.0	1.2448979591836735
USMA_521_v2_1	30001	31000	157.0	147.0	1.0680272108843538
USMA_521_v2_1	31001	32000	128.0	147.0	0.8707482993197279
USMA_521_v2_1	32001	33000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	33001	34000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	34001	35000	126.0	147.0	0.8571428571428571
USMA_521_v2_1	35001	36000	157.0	147.0	1.0680272108843538
USMA_521_v2_1	36001	37000	160.0	147.0	1.08843537414966
USMA_521_v2_1	37001	38000	169.0	147.0	1.1496598639455782
USMA_521_v2_1	38001	39000	179.0	147.0	1.217687074829932
USMA_521_v2_1	39001	40000	122.0	147.0	0.8299319727891157
USMA_521_v2_1	40001	41000	127.0	147.0	0.8639455782312925
USMA_521_v2_1	41001	42000	160.0	147.0	1.08843537414966
USMA_521_v2_1	42001	43000	155.0	147.0	1.054421768707483
USMA_521_v2_1	43001	44000	158.0	147.0	1.0748299319727892
USMA_521_v2_1	44001	45000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	45001	46000	147.0	147.0	1.0
USMA_521_v2_1	46001	47000	130.0	147.0	0.8843537414965986
USMA_521_v2_1	47001	48000	131.0	147.0	0.891156462585034
USMA_521_v2_1	48001	49000	138.0	147.0	0.9387755102040817
USMA_521_v2_1	49001	50000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	50001	51000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	51001	52000	188.0	147.0	1.2789115646258504
USMA_521_v2_1	52001	53000	133.0	147.0	0.9047619047619048
USMA_521_v2_1	53001	54000	202.0	147.0	1.3741496598639455
USMA_521_v2_1	54001	55000	163.0	147.0	1.1088435374149659
USMA_521_v2_1	55001	56000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	56001	57000	170.0	147.0	1.1564625850340136
USMA_521_v2_1	57001	58000	167.0	147.0	1.1360544217687074
USMA_521_v2_1	58001	59000	168.0	147.0	1.1428571428571428
USMA_521_v2_1	59001	60000	147.0	147.0	1.0
USMA_521_v2_1	60001	61000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	61001	62000	148.0	147.0	1.0068027210884354
USMA_521_v2_1	62001	63000	166.0	147.0	1.129251700680272
USMA_521_v2_1	63001	64000	134.0	147.0	0.9115646258503401
USMA_521_v2_1	64001	65000	110.0	147.0	0.7482993197278912
USMA_521_v2_1	65001	66000	132.0	147.0	0.8979591836734694
USMA_521_v2_1	66001	67000	169.5	147.0	1.153061224489796
USMA_521_v2_1	67001	68000	134.0	147.0	0.9115646258503401
USMA_521_v2_1	68001	69000	163.0	147.0	1.1088435374149659
USMA_521_v2_1	69001	70000	160.0	147.0	1.08843537414966
USMA_521_v2_1	70001	71000	154.5	147.0	1.0510204081632653
USMA_521_v2_1	71001	72000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	72001	73000	165.0	147.0	1.1224489795918366
USMA_521_v2_1	73001	74000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	74001	75000	172.0	147.0	1.1700680272108843
USMA_521_v2_1	75001	76000	160.0	147.0	1.08843537414966
USMA_521_v2_1	76001	77000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	77001	78000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	78001	79000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	79001	80000	117.0	147.0	0.7959183673469388
USMA_521_v2_1	80001	81000	133.0	147.0	0.9047619047619048
USMA_521_v2_1	81001	82000	167.0	147.0	1.1360544217687074
USMA_521_v2_1	82001	83000	141.0	147.0	0.9591836734693877
USMA_521_v2_1	83001	84000	128.0	147.0	0.8707482993197279
USMA_521_v2_1	84001	85000	169.0	147.0	1.1496598639455782
USMA_521_v2_1	85001	86000	120.0	147.0	0.8163265306122449
USMA_521_v2_1	86001	87000	160.0	147.0	1.08843537414966
USMA_521_v2_1	87001	88000	116.0	147.0	0.7891156462585034
USMA_521_v2_1	88001	89000	118.0	147.0	0.8027210884353742
USMA_521_v2_1	89001	90000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	90001	91000	152.0	147.0	1.034013605442177
USMA_521_v2_1	91001	92000	129.0	147.0	0.8775510204081632
USMA_521_v2_1	92001	93000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	93001	94000	128.0	147.0	0.8707482993197279
USMA_521_v2_1	94001	95000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	95001	96000	172.0	147.0	1.1700680272108843
USMA_521_v2_1	96001	97000	133.0	147.0	0.9047619047619048
USMA_521_v2_1	97001	98000	132.0	147.0	0.8979591836734694
USMA_521_v2_1	98001	99000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	99001	100000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	100001	101000	148.5	147.0	1.010204081632653
USMA_521_v2_1	101001	102000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	102001	103000	153.0	147.0	1.0408163265306123
USMA_521_v2_1	103001	104000	176.0	147.0	1.1972789115646258
USMA_521_v2_1	104001	105000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	105001	106000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	106001	107000	152.0	147.0	1.034013605442177
USMA_521_v2_1	107001	108000	123.0	147.0	0.8367346938775511
USMA_521_v2_1	108001	109000	178.0	147.0	1.2108843537414966
USMA_521_v2_1	109001	110000	139.0	147.0	0.9455782312925171
USMA_521_v2_1	110001	111000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	111001	112000	142.0	147.0	0.9659863945578231
USMA_521_v2_1	112001	113000	158.0	147.0	1.0748299319727892
USMA_521_v2_1	113001	114000	137.0	147.0	0.9319727891156463
USMA_521_v2_1	114001	115000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	115001	116000	168.0	147.0	1.1428571428571428
USMA_521_v2_1	116001	117000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	117001	118000	134.0	147.0	0.9115646258503401
USMA_521_v2_1	118001	119000	166.0	147.0	1.129251700680272
USMA_521_v2_1	119001	120000	143.0	147.0	0.9727891156462585
USMA_521_v2_1	120001	121000	137.0	147.0	0.9319727891156463
USMA_521_v2_1	121001	122000	164.0	147.0	1.1156462585034013
USMA_521_v2_1	122001	123000	115.0	147.0	0.782312925170068
USMA_521_v2_1	123001	124000	155.0	147.0	1.054421768707483
USMA_521_v2_1	124001	125000	178.0	147.0	1.2108843537414966
USMA_521_v2_1	125001	126000	161.0	147.0	1.0952380952380953
USMA_521_v2_1	126001	127000	153.0	147.0	1.0408163265306123
USMA_521_v2_1	127001	128000	148.0	147.0	1.0068027210884354
USMA_521_v2_1	128001	129000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	129001	130000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	130001	131000	151.0	147.0	1.0272108843537415
USMA_521_v2_1	131001	132000	163.0	147.0	1.1088435374149659
USMA_521_v2_1	132001	133000	168.0	147.0	1.1428571428571428
USMA_521_v2_1	133001	134000	165.0	147.0	1.1224489795918366
USMA_521_v2_1	134001	135000	124.0	147.0	0.8435374149659864
USMA_521_v2_1	135001	136000	148.0	147.0	1.0068027210884354
USMA_521_v2_1	136001	137000	176.0	147.0	1.1972789115646258
USMA_521_v2_1	137001	138000	170.0	147.0	1.1564625850340136
USMA_521_v2_1	138001	139000	158.0	147.0	1.0748299319727892
USMA_521_v2_1	139001	140000	164.0	147.0	1.1156462585034013
USMA_521_v2_1	140001	141000	163.0	147.0	1.1088435374149659
USMA_521_v2_1	141001	142000	141.0	147.0	0.9591836734693877
USMA_521_v2_1	142001	143000	142.0	147.0	0.9659863945578231
USMA_521_v2_1	143001	144000	154.0	147.0	1.0476190476190477
USMA_521_v2_1	144001	145000	147.0	147.0	1.0
USMA_521_v2_1	145001	146000	162.0	147.0	1.1020408163265305
USMA_521_v2_1	146001	147000	158.0	147.0	1.0748299319727892
USMA_521_v2_1	147001	148000	156.0	147.0	1.0612244897959184
USMA_521_v2_1	148001	149000	160.0	147.0	1.08843537414966
USMA_521_v2_1	149001	150000	139.5	147.0	0.9489795918367347
USMA_521_v2_1	150001	151000	150.5	147.0	1.0238095238095237
USMA_521_v2_1	151001	152000	160.5	147.0	1.0918367346938775
USMA_521_v2_1	152001	153000	144.0	147.0	0.9795918367346939
USMA_521_v2_1	153001	154000	137.0	147.0	0.9319727891156463
USMA_521_v2_1	154001	155000	130.0	147.0	0.8843537414965986
USMA_521_v2_1	155001	156000	159.0	147.0	1.0816326530612246
USMA_521_v2_1	156001	157000	174.5	147.0	1.1870748299319729
USMA_521_v2_1	157001	158000	103.0	147.0	0.7006802721088435
USMA_521_v2_1	158001	159000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	159001	160000	153.0	147.0	1.0408163265306123
USMA_521_v2_1	160001	161000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	161001	162000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	162001	163000	146.5	147.0	0.9965986394557823
USMA_521_v2_1	163001	164000	178.0	147.0	1.2108843537414966
USMA_521_v2_1	164001	165000	129.0	147.0	0.8775510204081632
USMA_521_v2_1	165001	166000	124.0	147.0	0.8435374149659864
USMA_521_v2_1	166001	167000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	167001	168000	123.0	147.0	0.8367346938775511
USMA_521_v2_1	168001	169000	127.0	147.0	0.8639455782312925
USMA_521_v2_1	169001	170000	137.0	147.0	0.9319727891156463
USMA_521_v2_1	170001	171000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	171001	172000	136.0	147.0	0.9251700680272109
USMA_521_v2_1	172001	173000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	173001	174000	167.0	147.0	1.1360544217687074
USMA_521_v2_1	174001	175000	134.0	147.0	0.9115646258503401
USMA_521_v2_1	175001	176000	123.0	147.0	0.8367346938775511
USMA_521_v2_1	176001	177000	145.0	147.0	0.9863945578231292
USMA_521_v2_1	177001	178000	155.0	147.0	1.054421768707483
USMA_521_v2_1	178001	179000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	179001	180000	156.0	147.0	1.0612244897959184
USMA_521_v2_1	180001	181000	160.0	147.0	1.08843537414966
USMA_521_v2_1	181001	182000	150.0	147.0	1.0204081632653061
USMA_521_v2_1	182001	183000	142.0	147.0	0.9659863945578231
USMA_521_v2_1	183001	184000	160.5	147.0	1.0918367346938775
USMA_521_v2_1	184001	185000	134.0	147.0	0.9115646258503401
USMA_521_v2_1	185001	186000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	186001	187000	128.0	147.0	0.8707482993197279
USMA_521_v2_1	187001	188000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	188001	189000	149.0	147.0	1.0136054421768708
USMA_521_v2_1	189001	190000	155.0	147.0	1.054421768707483
USMA_521_v2_1	190001	191000	135.0	147.0	0.9183673469387755
USMA_521_v2_1	191001	192000	157.0	147.0	1.0680272108843538
USMA_521_v2_1	192001	193000	140.0	147.0	0.9523809523809523
USMA_521_v2_1	193001	194000	142.0	147.0	0.9659863945578231
USMA_521_v2_1	194001	195000	146.0	147.0	0.9931972789115646
USMA_521_v2_1	195001	196000	167.0	147.0	1.1360544217687074
USMA_521_v2_1	196001	197000	142.0	147.0	0.9659863945578231
