chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	97.5	228.0	0.4276315789473684
USMA_521_v2_1	1001	2000	269.0	228.0	1.1798245614035088
USMA_521_v2_1	2001	3000	277.0	228.0	1.2149122807017543
USMA_521_v2_1	3001	4000	263.0	228.0	1.1535087719298245
USMA_521_v2_1	4001	5000	237.0	228.0	1.0394736842105263
USMA_521_v2_1	5001	6000	260.0	228.0	1.1403508771929824
USMA_521_v2_1	6001	7000	264.0	228.0	1.1578947368421053
USMA_521_v2_1	7001	8000	231.5	228.0	1.0153508771929824
USMA_521_v2_1	8001	9000	224.0	228.0	0.9824561403508771
USMA_521_v2_1	9001	10000	0.0	228.0	0.0
USMA_521_v2_1	10001	11000	217.0	228.0	0.9517543859649122
USMA_521_v2_1	11001	12000	208.0	228.0	0.9122807017543859
USMA_521_v2_1	12001	13000	222.0	228.0	0.9736842105263158
USMA_521_v2_1	13001	14000	228.0	228.0	1.0
USMA_521_v2_1	14001	15000	244.5	228.0	1.0723684210526316
USMA_521_v2_1	15001	16000	245.0	228.0	1.0745614035087718
USMA_521_v2_1	16001	17000	266.0	228.0	1.1666666666666667
USMA_521_v2_1	17001	18000	249.0	228.0	1.0921052631578947
USMA_521_v2_1	18001	19000	247.0	228.0	1.0833333333333333
USMA_521_v2_1	19001	20000	241.0	228.0	1.0570175438596492
USMA_521_v2_1	20001	21000	246.5	228.0	1.081140350877193
USMA_521_v2_1	21001	22000	235.0	228.0	1.030701754385965
USMA_521_v2_1	22001	23000	244.0	228.0	1.0701754385964912
USMA_521_v2_1	23001	24000	233.0	228.0	1.0219298245614035
USMA_521_v2_1	24001	25000	234.0	228.0	1.0263157894736843
USMA_521_v2_1	25001	26000	225.0	228.0	0.9868421052631579
USMA_521_v2_1	26001	27000	276.5	228.0	1.212719298245614
USMA_521_v2_1	27001	28000	252.5	228.0	1.1074561403508771
USMA_521_v2_1	28001	29000	246.5	228.0	1.081140350877193
USMA_521_v2_1	29001	30000	258.0	228.0	1.131578947368421
USMA_521_v2_1	30001	31000	244.0	228.0	1.0701754385964912
USMA_521_v2_1	31001	32000	226.0	228.0	0.9912280701754386
USMA_521_v2_1	32001	33000	217.0	228.0	0.9517543859649122
USMA_521_v2_1	33001	34000	231.0	228.0	1.013157894736842
USMA_521_v2_1	34001	35000	243.0	228.0	1.0657894736842106
USMA_521_v2_1	35001	36000	260.0	228.0	1.1403508771929824
USMA_521_v2_1	36001	37000	237.0	228.0	1.0394736842105263
USMA_521_v2_1	37001	38000	244.0	228.0	1.0701754385964912
USMA_521_v2_1	38001	39000	264.0	228.0	1.1578947368421053
USMA_521_v2_1	39001	40000	196.0	228.0	0.8596491228070176
USMA_521_v2_1	40001	41000	196.0	228.0	0.8596491228070176
USMA_521_v2_1	41001	42000	235.0	228.0	1.030701754385965
USMA_521_v2_1	42001	43000	226.0	228.0	0.9912280701754386
USMA_521_v2_1	43001	44000	244.0	228.0	1.0701754385964912
USMA_521_v2_1	44001	45000	233.0	228.0	1.0219298245614035
USMA_521_v2_1	45001	46000	242.0	228.0	1.0614035087719298
USMA_521_v2_1	46001	47000	198.5	228.0	0.8706140350877193
