chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	76.5	203.0	0.3768472906403941
USMA_521_v2_1	1001	2000	212.0	203.0	1.0443349753694582
USMA_521_v2_1	2001	3000	210.0	203.0	1.0344827586206897
USMA_521_v2_1	3001	4000	212.0	203.0	1.0443349753694582
USMA_521_v2_1	4001	5000	219.0	203.0	1.0788177339901477
USMA_521_v2_1	5001	6000	225.0	203.0	1.1083743842364533
USMA_521_v2_1	6001	7000	200.0	203.0	0.9852216748768473
USMA_521_v2_1	7001	8000	189.0	203.0	0.9310344827586207
USMA_521_v2_1	8001	9000	192.0	203.0	0.9458128078817734
USMA_521_v2_1	9001	10000	0.0	203.0	0.0
USMA_521_v2_1	10001	11000	170.0	203.0	0.8374384236453202
USMA_521_v2_1	11001	12000	182.0	203.0	0.896551724137931
USMA_521_v2_1	12001	13000	209.0	203.0	1.0295566502463054
USMA_521_v2_1	13001	14000	211.0	203.0	1.0394088669950738
USMA_521_v2_1	14001	15000	212.0	203.0	1.0443349753694582
USMA_521_v2_1	15001	16000	214.0	203.0	1.0541871921182266
USMA_521_v2_1	16001	17000	223.0	203.0	1.0985221674876848
USMA_521_v2_1	17001	18000	199.0	203.0	0.9802955665024631
USMA_521_v2_1	18001	19000	202.0	203.0	0.9950738916256158
USMA_521_v2_1	19001	20000	202.0	203.0	0.9950738916256158
USMA_521_v2_1	20001	21000	200.0	203.0	0.9852216748768473
USMA_521_v2_1	21001	22000	188.0	203.0	0.9261083743842364
USMA_521_v2_1	22001	23000	210.0	203.0	1.0344827586206897
USMA_521_v2_1	23001	24000	209.0	203.0	1.0295566502463054
USMA_521_v2_1	24001	25000	197.0	203.0	0.9704433497536946
USMA_521_v2_1	25001	26000	196.0	203.0	0.9655172413793104
USMA_521_v2_1	26001	27000	218.0	203.0	1.0738916256157636
USMA_521_v2_1	27001	28000	213.0	203.0	1.0492610837438423
USMA_521_v2_1	28001	29000	218.0	203.0	1.0738916256157636
USMA_521_v2_1	29001	30000	225.0	203.0	1.1083743842364533
USMA_521_v2_1	30001	31000	214.0	203.0	1.0541871921182266
USMA_521_v2_1	31001	32000	201.0	203.0	0.9901477832512315
USMA_521_v2_1	32001	33000	196.0	203.0	0.9655172413793104
USMA_521_v2_1	33001	34000	203.0	203.0	1.0
USMA_521_v2_1	34001	35000	197.0	203.0	0.9704433497536946
USMA_521_v2_1	35001	36000	220.0	203.0	1.083743842364532
USMA_521_v2_1	36001	37000	203.0	203.0	1.0
USMA_521_v2_1	37001	38000	204.0	203.0	1.0049261083743843
USMA_521_v2_1	38001	39000	219.0	203.0	1.0788177339901477
USMA_521_v2_1	39001	40000	177.0	203.0	0.8719211822660099
USMA_521_v2_1	40001	41000	180.0	203.0	0.8866995073891626
USMA_521_v2_1	41001	42000	205.0	203.0	1.0098522167487685
USMA_521_v2_1	42001	43000	207.0	203.0	1.019704433497537
USMA_521_v2_1	43001	44000	205.0	203.0	1.0098522167487685
USMA_521_v2_1	44001	45000	196.0	203.0	0.9655172413793104
USMA_521_v2_1	45001	46000	202.0	203.0	0.9950738916256158
USMA_521_v2_1	46001	47000	173.0	203.0	0.8522167487684729
USMA_521_v2_1	47001	48000	190.0	203.0	0.9359605911330049
USMA_521_v2_1	48001	49000	198.0	203.0	0.9753694581280788
USMA_521_v2_1	49001	50000	194.0	203.0	0.9556650246305419
USMA_521_v2_1	50001	51000	186.0	203.0	0.916256157635468
USMA_521_v2_1	51001	52000	221.0	203.0	1.0886699507389161
USMA_521_v2_1	52001	53000	178.5	203.0	0.8793103448275862
USMA_521_v2_1	53001	54000	213.0	203.0	1.0492610837438423
USMA_521_v2_1	54001	55000	200.0	203.0	0.9852216748768473
USMA_521_v2_1	55001	56000	215.0	203.0	1.0591133004926108
USMA_521_v2_1	56001	57000	220.0	203.0	1.083743842364532
USMA_521_v2_1	57001	58000	221.0	203.0	1.0886699507389161
USMA_521_v2_1	58001	59000	212.0	203.0	1.0443349753694582
USMA_521_v2_1	59001	60000	213.0	203.0	1.0492610837438423
USMA_521_v2_1	60001	61000	215.0	203.0	1.0591133004926108
USMA_521_v2_1	61001	62000	193.0	203.0	0.9507389162561576
USMA_521_v2_1	62001	63000	199.0	203.0	0.9802955665024631
USMA_521_v2_1	63001	64000	202.0	203.0	0.9950738916256158
USMA_521_v2_1	64001	65000	169.0	203.0	0.8325123152709359
USMA_521_v2_1	65001	66000	191.0	203.0	0.9408866995073891
USMA_521_v2_1	66001	67000	205.0	203.0	1.0098522167487685
USMA_521_v2_1	67001	68000	196.0	203.0	0.9655172413793104
USMA_521_v2_1	68001	69000	210.0	203.0	1.0344827586206897
USMA_521_v2_1	69001	70000	207.0	203.0	1.019704433497537
USMA_521_v2_1	70001	71000	208.0	203.0	1.0246305418719213
USMA_521_v2_1	71001	72000	220.0	203.0	1.083743842364532
USMA_521_v2_1	72001	73000	202.0	203.0	0.9950738916256158
USMA_521_v2_1	73001	74000	228.0	203.0	1.1231527093596059
USMA_521_v2_1	74001	75000	227.0	203.0	1.1182266009852218
USMA_521_v2_1	75001	76000	206.0	203.0	1.0147783251231528
USMA_521_v2_1	76001	77000	221.0	203.0	1.0886699507389161
USMA_521_v2_1	77001	78000	206.0	203.0	1.0147783251231528
USMA_521_v2_1	78001	79000	210.0	203.0	1.0344827586206897
USMA_521_v2_1	79001	80000	173.0	203.0	0.8522167487684729
USMA_521_v2_1	80001	81000	192.0	203.0	0.9458128078817734
