chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	70.5	221.0	0.3190045248868778
USMA_521_v2_1	1001	2000	232.0	221.0	1.0497737556561086
USMA_521_v2_1	2001	3000	239.0	221.0	1.081447963800905
USMA_521_v2_1	3001	4000	214.0	221.0	0.9683257918552036
USMA_521_v2_1	4001	5000	227.0	221.0	1.0271493212669682
USMA_521_v2_1	5001	6000	237.0	221.0	1.0723981900452488
USMA_521_v2_1	6001	7000	220.0	221.0	0.995475113122172
USMA_521_v2_1	7001	8000	220.0	221.0	0.995475113122172
USMA_521_v2_1	8001	9000	219.0	221.0	0.9909502262443439
USMA_521_v2_1	9001	10000	0.0	221.0	0.0
USMA_521_v2_1	10001	11000	213.0	221.0	0.9638009049773756
USMA_521_v2_1	11001	12000	209.0	221.0	0.9457013574660633
USMA_521_v2_1	12001	13000	208.5	221.0	0.9434389140271493
USMA_521_v2_1	13001	14000	214.0	221.0	0.9683257918552036
USMA_521_v2_1	14001	15000	225.0	221.0	1.0180995475113122
USMA_521_v2_1	15001	16000	224.0	221.0	1.0135746606334841
USMA_521_v2_1	16001	17000	243.0	221.0	1.0995475113122173
USMA_521_v2_1	17001	18000	240.0	221.0	1.085972850678733
USMA_521_v2_1	18001	19000	224.0	221.0	1.0135746606334841
USMA_521_v2_1	19001	20000	229.0	221.0	1.0361990950226245
USMA_521_v2_1	20001	21000	211.0	221.0	0.9547511312217195
USMA_521_v2_1	21001	22000	209.5	221.0	0.9479638009049773
USMA_521_v2_1	22001	23000	221.0	221.0	1.0
USMA_521_v2_1	23001	24000	209.0	221.0	0.9457013574660633
USMA_521_v2_1	24001	25000	199.0	221.0	0.9004524886877828
USMA_521_v2_1	25001	26000	223.0	221.0	1.009049773755656
USMA_521_v2_1	26001	27000	260.0	221.0	1.1764705882352942
USMA_521_v2_1	27001	28000	219.0	221.0	0.9909502262443439
USMA_521_v2_1	28001	29000	220.0	221.0	0.995475113122172
USMA_521_v2_1	29001	30000	239.0	221.0	1.081447963800905
USMA_521_v2_1	30001	31000	223.0	221.0	1.009049773755656
USMA_521_v2_1	31001	32000	209.0	221.0	0.9457013574660633
USMA_521_v2_1	32001	33000	221.0	221.0	1.0
USMA_521_v2_1	33001	34000	225.0	221.0	1.0180995475113122
USMA_521_v2_1	34001	35000	228.0	221.0	1.0316742081447965
USMA_521_v2_1	35001	36000	246.0	221.0	1.1131221719457014
USMA_521_v2_1	36001	37000	222.0	221.0	1.004524886877828
USMA_521_v2_1	37001	38000	223.0	221.0	1.009049773755656
USMA_521_v2_1	38001	39000	228.0	221.0	1.0316742081447965
USMA_521_v2_1	39001	40000	192.0	221.0	0.8687782805429864
USMA_521_v2_1	40001	41000	189.0	221.0	0.8552036199095022
USMA_521_v2_1	41001	42000	217.0	221.0	0.9819004524886877
USMA_521_v2_1	42001	43000	232.0	221.0	1.0497737556561086
USMA_521_v2_1	43001	44000	214.0	221.0	0.9683257918552036
USMA_521_v2_1	44001	45000	207.0	221.0	0.9366515837104072
USMA_521_v2_1	45001	46000	225.0	221.0	1.0180995475113122
USMA_521_v2_1	46001	47000	197.0	221.0	0.8914027149321267
USMA_521_v2_1	47001	48000	218.0	221.0	0.9864253393665159
USMA_521_v2_1	48001	49000	223.0	221.0	1.009049773755656
USMA_521_v2_1	49001	50000	213.0	221.0	0.9638009049773756
USMA_521_v2_1	50001	51000	212.0	221.0	0.9592760180995475
USMA_521_v2_1	51001	52000	234.0	221.0	1.0588235294117647
USMA_521_v2_1	52001	53000	207.0	221.0	0.9366515837104072
USMA_521_v2_1	53001	54000	238.0	221.0	1.0769230769230769
USMA_521_v2_1	54001	55000	221.0	221.0	1.0
USMA_521_v2_1	55001	56000	220.0	221.0	0.995475113122172
USMA_521_v2_1	56001	57000	232.0	221.0	1.0497737556561086
