chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	95.0	295.0	0.3220338983050847
USMA_521_v2_1	1001	2000	319.5	295.0	1.083050847457627
USMA_521_v2_1	2001	3000	329.0	295.0	1.1152542372881356
USMA_521_v2_1	3001	4000	290.0	295.0	0.9830508474576272
USMA_521_v2_1	4001	5000	306.0	295.0	1.0372881355932204
USMA_521_v2_1	5001	6000	339.0	295.0	1.1491525423728814
USMA_521_v2_1	6001	7000	304.0	295.0	1.0305084745762711
USMA_521_v2_1	7001	8000	295.0	295.0	1.0
USMA_521_v2_1	8001	9000	308.5	295.0	1.0457627118644068
USMA_521_v2_1	9001	10000	0.0	295.0	0.0
USMA_521_v2_1	10001	11000	279.0	295.0	0.9457627118644067
USMA_521_v2_1	11001	12000	260.5	295.0	0.8830508474576271
USMA_521_v2_1	12001	13000	291.0	295.0	0.9864406779661017
USMA_521_v2_1	13001	14000	295.0	295.0	1.0
USMA_521_v2_1	14001	15000	303.0	295.0	1.0271186440677966
USMA_521_v2_1	15001	16000	310.0	295.0	1.0508474576271187
USMA_521_v2_1	16001	17000	339.0	295.0	1.1491525423728814
USMA_521_v2_1	17001	18000	296.0	295.0	1.0033898305084745
USMA_521_v2_1	18001	19000	324.0	295.0	1.0983050847457627
USMA_521_v2_1	19001	20000	323.0	295.0	1.0949152542372882
USMA_521_v2_1	20001	21000	280.0	295.0	0.9491525423728814
USMA_521_v2_1	21001	22000	299.0	295.0	1.0135593220338983
USMA_521_v2_1	22001	23000	323.0	295.0	1.0949152542372882
USMA_521_v2_1	23001	24000	304.5	295.0	1.0322033898305085
USMA_521_v2_1	24001	25000	266.5	295.0	0.9033898305084745
USMA_521_v2_1	25001	26000	310.5	295.0	1.0525423728813559
USMA_521_v2_1	26001	27000	317.0	295.0	1.0745762711864406
USMA_521_v2_1	27001	28000	314.0	295.0	1.064406779661017
USMA_521_v2_1	28001	29000	326.0	295.0	1.1050847457627118
