chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	51.5	238.0	0.21638655462184875
USMA_521_v2_1	1001	2000	244.0	238.0	1.0252100840336134
USMA_521_v2_1	2001	3000	280.0	238.0	1.1764705882352942
USMA_521_v2_1	3001	4000	226.5	238.0	0.9516806722689075
USMA_521_v2_1	4001	5000	253.5	238.0	1.065126050420168
USMA_521_v2_1	5001	6000	275.5	238.0	1.1575630252100841
USMA_521_v2_1	6001	7000	242.0	238.0	1.0168067226890756
USMA_521_v2_1	7001	8000	225.0	238.0	0.9453781512605042
USMA_521_v2_1	8001	9000	243.0	238.0	1.0210084033613445
USMA_521_v2_1	9001	10000	0.0	238.0	0.0
USMA_521_v2_1	10001	11000	194.0	238.0	0.8151260504201681
USMA_521_v2_1	11001	12000	188.0	238.0	0.7899159663865546
USMA_521_v2_1	12001	13000	279.0	238.0	1.1722689075630253
USMA_521_v2_1	13001	14000	232.0	238.0	0.9747899159663865
USMA_521_v2_1	14001	15000	265.0	238.0	1.1134453781512605
USMA_521_v2_1	15001	16000	242.0	238.0	1.0168067226890756
USMA_521_v2_1	16001	17000	277.0	238.0	1.1638655462184875
USMA_521_v2_1	17001	18000	240.0	238.0	1.0084033613445378
USMA_521_v2_1	18001	19000	239.5	238.0	1.0063025210084033
USMA_521_v2_1	19001	20000	248.0	238.0	1.0420168067226891
USMA_521_v2_1	20001	21000	217.5	238.0	0.9138655462184874
USMA_521_v2_1	21001	22000	229.0	238.0	0.9621848739495799
USMA_521_v2_1	22001	23000	244.0	238.0	1.0252100840336134
USMA_521_v2_1	23001	24000	235.5	238.0	0.9894957983193278
USMA_521_v2_1	24001	25000	205.0	238.0	0.8613445378151261
USMA_521_v2_1	25001	26000	243.0	238.0	1.0210084033613445
USMA_521_v2_1	26001	27000	313.0	238.0	1.315126050420168
USMA_521_v2_1	27001	28000	249.0	238.0	1.046218487394958
USMA_521_v2_1	28001	29000	261.5	238.0	1.0987394957983194
USMA_521_v2_1	29001	30000	277.5	238.0	1.165966386554622
USMA_521_v2_1	30001	31000	268.0	238.0	1.1260504201680672
USMA_521_v2_1	31001	32000	229.0	238.0	0.9621848739495799
USMA_521_v2_1	32001	33000	232.0	238.0	0.9747899159663865
USMA_521_v2_1	33001	34000	227.0	238.0	0.9537815126050421
USMA_521_v2_1	34001	35000	230.0	238.0	0.9663865546218487
USMA_521_v2_1	35001	36000	261.0	238.0	1.096638655462185
USMA_521_v2_1	36001	37000	243.5	238.0	1.023109243697479
USMA_521_v2_1	37001	38000	254.0	238.0	1.0672268907563025
USMA_521_v2_1	38001	39000	274.0	238.0	1.1512605042016806
USMA_521_v2_1	39001	40000	217.0	238.0	0.9117647058823529
USMA_521_v2_1	40001	41000	199.0	238.0	0.8361344537815126
USMA_521_v2_1	41001	42000	250.5	238.0	1.0525210084033614
USMA_521_v2_1	42001	43000	233.5	238.0	0.9810924369747899
USMA_521_v2_1	43001	44000	258.0	238.0	1.084033613445378
USMA_521_v2_1	44001	45000	249.0	238.0	1.046218487394958
USMA_521_v2_1	45001	46000	235.0	238.0	0.9873949579831933
USMA_521_v2_1	46001	47000	184.0	238.0	0.773109243697479
USMA_521_v2_1	47001	48000	196.0	238.0	0.8235294117647058
USMA_521_v2_1	48001	49000	230.0	238.0	0.9663865546218487
USMA_521_v2_1	49001	50000	241.0	238.0	1.0126050420168067
USMA_521_v2_1	50001	51000	206.0	238.0	0.865546218487395
USMA_521_v2_1	51001	52000	268.0	238.0	1.1260504201680672
USMA_521_v2_1	52001	53000	229.0	238.0	0.9621848739495799
USMA_521_v2_1	53001	54000	270.0	238.0	1.134453781512605
USMA_521_v2_1	54001	55000	236.0	238.0	0.9915966386554622
USMA_521_v2_1	55001	56000	237.0	238.0	0.9957983193277311
USMA_521_v2_1	56001	57000	267.0	238.0	1.1218487394957983
USMA_521_v2_1	57001	58000	267.0	238.0	1.1218487394957983
USMA_521_v2_1	58001	59000	279.0	238.0	1.1722689075630253
USMA_521_v2_1	59001	60000	230.0	238.0	0.9663865546218487
USMA_521_v2_1	60001	61000	240.0	238.0	1.0084033613445378
USMA_521_v2_1	61001	62000	234.0	238.0	0.9831932773109243
USMA_521_v2_1	62001	63000	259.0	238.0	1.088235294117647
USMA_521_v2_1	63001	64000	236.0	238.0	0.9915966386554622
