chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	89.0	207.0	0.42995169082125606
USMA_521_v2_1	1001	2000	229.0	207.0	1.106280193236715
USMA_521_v2_1	2001	3000	231.0	207.0	1.1159420289855073
USMA_521_v2_1	3001	4000	211.5	207.0	1.0217391304347827
USMA_521_v2_1	4001	5000	226.0	207.0	1.0917874396135265
USMA_521_v2_1	5001	6000	233.0	207.0	1.1256038647342994
USMA_521_v2_1	6001	7000	227.0	207.0	1.0966183574879227
USMA_521_v2_1	7001	8000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	8001	9000	189.5	207.0	0.9154589371980676
USMA_521_v2_1	9001	10000	0.0	207.0	0.0
USMA_521_v2_1	10001	11000	206.0	207.0	0.9951690821256038
USMA_521_v2_1	11001	12000	184.0	207.0	0.8888888888888888
USMA_521_v2_1	12001	13000	216.0	207.0	1.0434782608695652
USMA_521_v2_1	13001	14000	214.0	207.0	1.0338164251207729
USMA_521_v2_1	14001	15000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	15001	16000	220.0	207.0	1.0628019323671498
USMA_521_v2_1	16001	17000	219.0	207.0	1.0579710144927537
USMA_521_v2_1	17001	18000	202.0	207.0	0.9758454106280193
USMA_521_v2_1	18001	19000	221.0	207.0	1.067632850241546
USMA_521_v2_1	19001	20000	223.0	207.0	1.077294685990338
USMA_521_v2_1	20001	21000	208.0	207.0	1.0048309178743962
USMA_521_v2_1	21001	22000	188.0	207.0	0.9082125603864735
USMA_521_v2_1	22001	23000	203.0	207.0	0.9806763285024155
USMA_521_v2_1	23001	24000	214.0	207.0	1.0338164251207729
USMA_521_v2_1	24001	25000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	25001	26000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	26001	27000	255.0	207.0	1.2318840579710144
USMA_521_v2_1	27001	28000	217.0	207.0	1.0483091787439613
USMA_521_v2_1	28001	29000	213.0	207.0	1.0289855072463767
USMA_521_v2_1	29001	30000	244.5	207.0	1.181159420289855
USMA_521_v2_1	30001	31000	224.0	207.0	1.0821256038647342
USMA_521_v2_1	31001	32000	203.0	207.0	0.9806763285024155
USMA_521_v2_1	32001	33000	201.0	207.0	0.9710144927536232
USMA_521_v2_1	33001	34000	212.0	207.0	1.0241545893719808
USMA_521_v2_1	34001	35000	212.0	207.0	1.0241545893719808
USMA_521_v2_1	35001	36000	227.0	207.0	1.0966183574879227
USMA_521_v2_1	36001	37000	232.0	207.0	1.1207729468599035
USMA_521_v2_1	37001	38000	247.0	207.0	1.1932367149758454
USMA_521_v2_1	38001	39000	248.0	207.0	1.1980676328502415
USMA_521_v2_1	39001	40000	179.0	207.0	0.8647342995169082
USMA_521_v2_1	40001	41000	175.0	207.0	0.8454106280193237
USMA_521_v2_1	41001	42000	221.0	207.0	1.067632850241546
USMA_521_v2_1	42001	43000	225.0	207.0	1.0869565217391304
USMA_521_v2_1	43001	44000	223.0	207.0	1.077294685990338
USMA_521_v2_1	44001	45000	208.0	207.0	1.0048309178743962
USMA_521_v2_1	45001	46000	211.0	207.0	1.0193236714975846
USMA_521_v2_1	46001	47000	184.0	207.0	0.8888888888888888
USMA_521_v2_1	47001	48000	178.0	207.0	0.8599033816425121
USMA_521_v2_1	48001	49000	214.0	207.0	1.0338164251207729
USMA_521_v2_1	49001	50000	211.0	207.0	1.0193236714975846
USMA_521_v2_1	50001	51000	195.0	207.0	0.9420289855072463
USMA_521_v2_1	51001	52000	228.0	207.0	1.1014492753623188
USMA_521_v2_1	52001	53000	198.0	207.0	0.9565217391304348
USMA_521_v2_1	53001	54000	262.0	207.0	1.2657004830917875
USMA_521_v2_1	54001	55000	226.0	207.0	1.0917874396135265
USMA_521_v2_1	55001	56000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	56001	57000	236.0	207.0	1.1400966183574879
USMA_521_v2_1	57001	58000	234.0	207.0	1.1304347826086956
USMA_521_v2_1	58001	59000	230.0	207.0	1.1111111111111112
USMA_521_v2_1	59001	60000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	60001	61000	209.0	207.0	1.0096618357487923
USMA_521_v2_1	61001	62000	213.0	207.0	1.0289855072463767
USMA_521_v2_1	62001	63000	220.0	207.0	1.0628019323671498
USMA_521_v2_1	63001	64000	187.0	207.0	0.9033816425120773
USMA_521_v2_1	64001	65000	178.0	207.0	0.8599033816425121
USMA_521_v2_1	65001	66000	189.0	207.0	0.9130434782608695
USMA_521_v2_1	66001	67000	209.0	207.0	1.0096618357487923
USMA_521_v2_1	67001	68000	190.0	207.0	0.9178743961352657
USMA_521_v2_1	68001	69000	229.0	207.0	1.106280193236715
USMA_521_v2_1	69001	70000	225.0	207.0	1.0869565217391304
USMA_521_v2_1	70001	71000	219.0	207.0	1.0579710144927537
USMA_521_v2_1	71001	72000	215.0	207.0	1.038647342995169
USMA_521_v2_1	72001	73000	199.0	207.0	0.961352657004831
USMA_521_v2_1	73001	74000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	74001	75000	238.0	207.0	1.1497584541062802
USMA_521_v2_1	75001	76000	226.5	207.0	1.0942028985507246
USMA_521_v2_1	76001	77000	212.0	207.0	1.0241545893719808
USMA_521_v2_1	77001	78000	201.0	207.0	0.9710144927536232
USMA_521_v2_1	78001	79000	206.0	207.0	0.9951690821256038
USMA_521_v2_1	79001	80000	185.0	207.0	0.893719806763285
USMA_521_v2_1	80001	81000	195.0	207.0	0.9420289855072463
USMA_521_v2_1	81001	82000	237.0	207.0	1.144927536231884
USMA_521_v2_1	82001	83000	201.0	207.0	0.9710144927536232
USMA_521_v2_1	83001	84000	198.0	207.0	0.9565217391304348
USMA_521_v2_1	84001	85000	223.0	207.0	1.077294685990338
USMA_521_v2_1	85001	86000	186.0	207.0	0.8985507246376812
USMA_521_v2_1	86001	87000	223.0	207.0	1.077294685990338
USMA_521_v2_1	87001	88000	187.0	207.0	0.9033816425120773
USMA_521_v2_1	88001	89000	175.0	207.0	0.8454106280193237
USMA_521_v2_1	89001	90000	194.0	207.0	0.9371980676328503
USMA_521_v2_1	90001	91000	185.0	207.0	0.893719806763285
USMA_521_v2_1	91001	92000	180.0	207.0	0.8695652173913043
USMA_521_v2_1	92001	93000	204.0	207.0	0.9855072463768116
USMA_521_v2_1	93001	94000	188.0	207.0	0.9082125603864735
USMA_521_v2_1	94001	95000	199.0	207.0	0.961352657004831
USMA_521_v2_1	95001	96000	206.5	207.0	0.9975845410628019
USMA_521_v2_1	96001	97000	190.0	207.0	0.9178743961352657
USMA_521_v2_1	97001	98000	197.0	207.0	0.9516908212560387
USMA_521_v2_1	98001	99000	209.0	207.0	1.0096618357487923
USMA_521_v2_1	99001	100000	208.0	207.0	1.0048309178743962
USMA_521_v2_1	100001	101000	206.0	207.0	0.9951690821256038
USMA_521_v2_1	101001	102000	188.0	207.0	0.9082125603864735
USMA_521_v2_1	102001	103000	206.0	207.0	0.9951690821256038
USMA_521_v2_1	103001	104000	230.5	207.0	1.1135265700483092
USMA_521_v2_1	104001	105000	209.0	207.0	1.0096618357487923
USMA_521_v2_1	105001	106000	204.0	207.0	0.9855072463768116
USMA_521_v2_1	106001	107000	192.0	207.0	0.927536231884058
USMA_521_v2_1	107001	108000	169.0	207.0	0.8164251207729468
USMA_521_v2_1	108001	109000	210.0	207.0	1.0144927536231885
USMA_521_v2_1	109001	110000	198.0	207.0	0.9565217391304348
USMA_521_v2_1	110001	111000	201.0	207.0	0.9710144927536232
USMA_521_v2_1	111001	112000	196.0	207.0	0.9468599033816425
USMA_521_v2_1	112001	113000	230.0	207.0	1.1111111111111112
USMA_521_v2_1	113001	114000	197.0	207.0	0.9516908212560387
USMA_521_v2_1	114001	115000	210.0	207.0	1.0144927536231885
USMA_521_v2_1	115001	116000	216.0	207.0	1.0434782608695652
USMA_521_v2_1	116001	117000	203.0	207.0	0.9806763285024155
USMA_521_v2_1	117001	118000	186.5	207.0	0.9009661835748792
USMA_521_v2_1	118001	119000	248.0	207.0	1.1980676328502415
USMA_521_v2_1	119001	120000	206.0	207.0	0.9951690821256038
USMA_521_v2_1	120001	121000	203.0	207.0	0.9806763285024155
USMA_521_v2_1	121001	122000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	122001	123000	188.0	207.0	0.9082125603864735
USMA_521_v2_1	123001	124000	200.0	207.0	0.966183574879227
USMA_521_v2_1	124001	125000	232.0	207.0	1.1207729468599035
USMA_521_v2_1	125001	126000	235.5	207.0	1.1376811594202898
USMA_521_v2_1	126001	127000	214.0	207.0	1.0338164251207729
USMA_521_v2_1	127001	128000	228.0	207.0	1.1014492753623188
USMA_521_v2_1	128001	129000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	129001	130000	213.0	207.0	1.0289855072463767
USMA_521_v2_1	130001	131000	233.0	207.0	1.1256038647342994
USMA_521_v2_1	131001	132000	242.0	207.0	1.1690821256038648
USMA_521_v2_1	132001	133000	229.0	207.0	1.106280193236715
USMA_521_v2_1	133001	134000	233.0	207.0	1.1256038647342994
USMA_521_v2_1	134001	135000	181.0	207.0	0.8743961352657005
USMA_521_v2_1	135001	136000	215.0	207.0	1.038647342995169
USMA_521_v2_1	136001	137000	249.0	207.0	1.2028985507246377
USMA_521_v2_1	137001	138000	257.0	207.0	1.2415458937198067
USMA_521_v2_1	138001	139000	230.0	207.0	1.1111111111111112
USMA_521_v2_1	139001	140000	240.0	207.0	1.1594202898550725
USMA_521_v2_1	140001	141000	219.0	207.0	1.0579710144927537
USMA_521_v2_1	141001	142000	197.0	207.0	0.9516908212560387
USMA_521_v2_1	142001	143000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	143001	144000	206.5	207.0	0.9975845410628019
USMA_521_v2_1	144001	145000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	145001	146000	230.0	207.0	1.1111111111111112
USMA_521_v2_1	146001	147000	218.0	207.0	1.0531400966183575
USMA_521_v2_1	147001	148000	212.5	207.0	1.0265700483091786
USMA_521_v2_1	148001	149000	205.0	207.0	0.9903381642512077
USMA_521_v2_1	149001	150000	189.0	207.0	0.9130434782608695
USMA_521_v2_1	150001	151000	215.0	207.0	1.038647342995169
USMA_521_v2_1	151001	152000	211.0	207.0	1.0193236714975846
USMA_521_v2_1	152001	153000	211.0	207.0	1.0193236714975846
USMA_521_v2_1	153001	154000	206.5	207.0	0.9975845410628019
USMA_521_v2_1	154001	155000	192.0	207.0	0.927536231884058
USMA_521_v2_1	155001	156000	223.0	207.0	1.077294685990338
USMA_521_v2_1	156001	157000	254.0	207.0	1.2270531400966183
USMA_521_v2_1	157001	158000	188.0	207.0	0.9082125603864735
USMA_521_v2_1	158001	159000	211.0	207.0	1.0193236714975846
USMA_521_v2_1	159001	160000	236.0	207.0	1.1400966183574879
USMA_521_v2_1	160001	161000	200.0	207.0	0.966183574879227
USMA_521_v2_1	161001	162000	213.0	207.0	1.0289855072463767
USMA_521_v2_1	162001	163000	211.0	207.0	1.0193236714975846
