chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	41.0	125.0	0.328
USMA_521_v2_1	1001	2000	118.0	125.0	0.944
USMA_521_v2_1	2001	3000	133.0	125.0	1.064
USMA_521_v2_1	3001	4000	116.0	125.0	0.928
USMA_521_v2_1	4001	5000	128.0	125.0	1.024
USMA_521_v2_1	5001	6000	137.0	125.0	1.096
USMA_521_v2_1	6001	7000	134.0	125.0	1.072
USMA_521_v2_1	7001	8000	126.0	125.0	1.008
USMA_521_v2_1	8001	9000	123.0	125.0	0.984
USMA_521_v2_1	9001	10000	0.0	125.0	0.0
USMA_521_v2_1	10001	11000	110.0	125.0	0.88
USMA_521_v2_1	11001	12000	95.0	125.0	0.76
USMA_521_v2_1	12001	13000	116.0	125.0	0.928
USMA_521_v2_1	13001	14000	129.5	125.0	1.036
USMA_521_v2_1	14001	15000	128.0	125.0	1.024
USMA_521_v2_1	15001	16000	132.0	125.0	1.056
USMA_521_v2_1	16001	17000	135.0	125.0	1.08
USMA_521_v2_1	17001	18000	124.0	125.0	0.992
USMA_521_v2_1	18001	19000	139.0	125.0	1.112
USMA_521_v2_1	19001	20000	122.0	125.0	0.976
USMA_521_v2_1	20001	21000	121.0	125.0	0.968
USMA_521_v2_1	21001	22000	111.0	125.0	0.888
USMA_521_v2_1	22001	23000	128.0	125.0	1.024
USMA_521_v2_1	23001	24000	126.0	125.0	1.008
USMA_521_v2_1	24001	25000	109.0	125.0	0.872
USMA_521_v2_1	25001	26000	117.0	125.0	0.936
USMA_521_v2_1	26001	27000	145.5	125.0	1.164
USMA_521_v2_1	27001	28000	116.0	125.0	0.928
USMA_521_v2_1	28001	29000	131.0	125.0	1.048
USMA_521_v2_1	29001	30000	151.0	125.0	1.208
USMA_521_v2_1	30001	31000	132.0	125.0	1.056
USMA_521_v2_1	31001	32000	110.0	125.0	0.88
USMA_521_v2_1	32001	33000	116.5	125.0	0.932
USMA_521_v2_1	33001	34000	118.5	125.0	0.948
USMA_521_v2_1	34001	35000	105.0	125.0	0.84
USMA_521_v2_1	35001	36000	131.0	125.0	1.048
USMA_521_v2_1	36001	37000	144.0	125.0	1.152
USMA_521_v2_1	37001	38000	135.0	125.0	1.08
USMA_521_v2_1	38001	39000	125.0	125.0	1.0
USMA_521_v2_1	39001	40000	107.5	125.0	0.86
USMA_521_v2_1	40001	41000	102.0	125.0	0.816
USMA_521_v2_1	41001	42000	122.0	125.0	0.976
USMA_521_v2_1	42001	43000	117.0	125.0	0.936
USMA_521_v2_1	43001	44000	133.0	125.0	1.064
USMA_521_v2_1	44001	45000	115.0	125.0	0.92
USMA_521_v2_1	45001	46000	121.0	125.0	0.968
USMA_521_v2_1	46001	47000	100.0	125.0	0.8
USMA_521_v2_1	47001	48000	100.0	125.0	0.8
USMA_521_v2_1	48001	49000	119.0	125.0	0.952
USMA_521_v2_1	49001	50000	114.0	125.0	0.912
USMA_521_v2_1	50001	51000	100.0	125.0	0.8
USMA_521_v2_1	51001	52000	143.0	125.0	1.144
USMA_521_v2_1	52001	53000	103.0	125.0	0.824
USMA_521_v2_1	53001	54000	157.0	125.0	1.256
USMA_521_v2_1	54001	55000	128.0	125.0	1.024
USMA_521_v2_1	55001	56000	130.0	125.0	1.04
USMA_521_v2_1	56001	57000	132.0	125.0	1.056
USMA_521_v2_1	57001	58000	129.0	125.0	1.032
USMA_521_v2_1	58001	59000	137.0	125.0	1.096
USMA_521_v2_1	59001	60000	124.0	125.0	0.992
USMA_521_v2_1	60001	61000	118.0	125.0	0.944
USMA_521_v2_1	61001	62000	124.0	125.0	0.992
USMA_521_v2_1	62001	63000	131.0	125.0	1.048
USMA_521_v2_1	63001	64000	114.0	125.0	0.912
USMA_521_v2_1	64001	65000	94.0	125.0	0.752
