chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	70.0	183.0	0.3825136612021858
USMA_521_v2_1	1001	2000	202.0	183.0	1.1038251366120218
USMA_521_v2_1	2001	3000	191.0	183.0	1.0437158469945356
USMA_521_v2_1	3001	4000	183.0	183.0	1.0
USMA_521_v2_1	4001	5000	209.0	183.0	1.1420765027322404
USMA_521_v2_1	5001	6000	186.0	183.0	1.0163934426229508
USMA_521_v2_1	6001	7000	180.0	183.0	0.9836065573770492
USMA_521_v2_1	7001	8000	165.0	183.0	0.9016393442622951
USMA_521_v2_1	8001	9000	158.0	183.0	0.8633879781420765
USMA_521_v2_1	9001	10000	0.0	183.0	0.0
USMA_521_v2_1	10001	11000	182.0	183.0	0.994535519125683
USMA_521_v2_1	11001	12000	166.0	183.0	0.907103825136612
USMA_521_v2_1	12001	13000	183.0	183.0	1.0
USMA_521_v2_1	13001	14000	195.0	183.0	1.0655737704918034
USMA_521_v2_1	14001	15000	196.0	183.0	1.0710382513661203
USMA_521_v2_1	15001	16000	171.0	183.0	0.9344262295081968
USMA_521_v2_1	16001	17000	200.0	183.0	1.092896174863388
USMA_521_v2_1	17001	18000	199.0	183.0	1.0874316939890711
USMA_521_v2_1	18001	19000	151.0	183.0	0.825136612021858
USMA_521_v2_1	19001	20000	186.0	183.0	1.0163934426229508
USMA_521_v2_1	20001	21000	192.0	183.0	1.0491803278688525
USMA_521_v2_1	21001	22000	168.0	183.0	0.9180327868852459
USMA_521_v2_1	22001	23000	199.0	183.0	1.0874316939890711
USMA_521_v2_1	23001	24000	194.0	183.0	1.0601092896174864
USMA_521_v2_1	24001	25000	186.0	183.0	1.0163934426229508
USMA_521_v2_1	25001	26000	171.0	183.0	0.9344262295081968
USMA_521_v2_1	26001	27000	163.0	183.0	0.8907103825136612
USMA_521_v2_1	27001	28000	191.0	183.0	1.0437158469945356
USMA_521_v2_1	28001	29000	180.0	183.0	0.9836065573770492
USMA_521_v2_1	29001	30000	190.0	183.0	1.0382513661202186
USMA_521_v2_1	30001	31000	179.0	183.0	0.9781420765027322
USMA_521_v2_1	31001	32000	192.0	183.0	1.0491803278688525
USMA_521_v2_1	32001	33000	180.0	183.0	0.9836065573770492
USMA_521_v2_1	33001	34000	190.0	183.0	1.0382513661202186
USMA_521_v2_1	34001	35000	195.0	183.0	1.0655737704918034
USMA_521_v2_1	35001	36000	191.0	183.0	1.0437158469945356
USMA_521_v2_1	36001	37000	193.0	183.0	1.0546448087431695
USMA_521_v2_1	37001	38000	177.0	183.0	0.9672131147540983
USMA_521_v2_1	38001	39000	218.0	183.0	1.1912568306010929
USMA_521_v2_1	39001	40000	148.0	183.0	0.8087431693989071
USMA_521_v2_1	40001	41000	183.0	183.0	1.0
USMA_521_v2_1	41001	42000	177.0	183.0	0.9672131147540983
USMA_521_v2_1	42001	43000	163.0	183.0	0.8907103825136612
USMA_521_v2_1	43001	44000	184.0	183.0	1.005464480874317
USMA_521_v2_1	44001	45000	166.5	183.0	0.9098360655737705
USMA_521_v2_1	45001	46000	196.0	183.0	1.0710382513661203
USMA_521_v2_1	46001	47000	179.0	183.0	0.9781420765027322
USMA_521_v2_1	47001	48000	176.0	183.0	0.9617486338797814
USMA_521_v2_1	48001	49000	186.0	183.0	1.0163934426229508
USMA_521_v2_1	49001	50000	187.0	183.0	1.0218579234972678
USMA_521_v2_1	50001	51000	187.0	183.0	1.0218579234972678
USMA_521_v2_1	51001	52000	184.0	183.0	1.005464480874317
USMA_521_v2_1	52001	53000	199.0	183.0	1.0874316939890711
USMA_521_v2_1	53001	54000	164.0	183.0	0.8961748633879781
USMA_521_v2_1	54001	55000	210.0	183.0	1.1475409836065573
USMA_521_v2_1	55001	56000	184.0	183.0	1.005464480874317
USMA_521_v2_1	56001	57000	165.0	183.0	0.9016393442622951
USMA_521_v2_1	57001	58000	199.0	183.0	1.0874316939890711
USMA_521_v2_1	58001	59000	187.0	183.0	1.0218579234972678
USMA_521_v2_1	59001	60000	185.0	183.0	1.010928961748634
USMA_521_v2_1	60001	61000	159.0	183.0	0.8688524590163934
USMA_521_v2_1	61001	62000	180.0	183.0	0.9836065573770492
USMA_521_v2_1	62001	63000	184.0	183.0	1.005464480874317
USMA_521_v2_1	63001	64000	191.0	183.0	1.0437158469945356
USMA_521_v2_1	64001	65000	183.0	183.0	1.0
USMA_521_v2_1	65001	66000	160.0	183.0	0.8743169398907104
USMA_521_v2_1	66001	67000	177.0	183.0	0.9672131147540983
USMA_521_v2_1	67001	68000	185.0	183.0	1.010928961748634
USMA_521_v2_1	68001	69000	179.0	183.0	0.9781420765027322
USMA_521_v2_1	69001	70000	206.0	183.0	1.1256830601092895
USMA_521_v2_1	70001	71000	188.0	183.0	1.0273224043715847
USMA_521_v2_1	71001	72000	191.5	183.0	1.046448087431694
USMA_521_v2_1	72001	73000	178.0	183.0	0.9726775956284153
USMA_521_v2_1	73001	74000	172.0	183.0	0.9398907103825137
USMA_521_v2_1	74001	75000	188.0	183.0	1.0273224043715847
USMA_521_v2_1	75001	76000	172.0	183.0	0.9398907103825137
USMA_521_v2_1	76001	77000	178.5	183.0	0.9754098360655737
USMA_521_v2_1	77001	78000	169.0	183.0	0.9234972677595629
USMA_521_v2_1	78001	79000	181.0	183.0	0.9890710382513661
USMA_521_v2_1	79001	80000	189.0	183.0	1.0327868852459017
USMA_521_v2_1	80001	81000	184.0	183.0	1.005464480874317
USMA_521_v2_1	81001	82000	199.0	183.0	1.0874316939890711
USMA_521_v2_1	82001	83000	196.5	183.0	1.0737704918032787
