Start	End	GC
1	200	48
201	400	44
401	600	32
601	800	35
801	1000	35
1001	1200	32
1201	1400	50
1401	1600	54
1601	1800	59
1801	2000	54
2001	2200	53
2201	2400	49
2401	2600	54
2601	2800	44
2801	3000	55
3001	3200	54
3201	3400	50
3401	3600	48
3601	3800	54
3801	4000	56
4001	4200	55
4201	4400	53
4401	4600	51
4601	4800	51
4801	5000	56
5001	5200	50
5201	5400	52
5401	5600	55
5601	5800	52
5801	6000	48
6001	6200	55
6201	6400	51
6401	6600	54
6601	6800	52
6801	7000	54
7001	7200	50
7201	7400	54
7401	7600	56
7601	7800	52
7801	8000	55
8001	8200	55
8201	8400	51
8401	8600	54
8601	8800	51
8801	9000	52
9001	9200	43
9201	9400	50
9401	9600	44
9601	9800	53
9801	10000	50
10001	10200	45
10201	10400	52
10401	10600	50
10601	10800	56
10801	11000	52
11001	11200	60
11201	11400	54
11401	11600	51
11601	11800	54
11801	12000	54
12001	12200	57
12201	12400	52
12401	12600	54
12601	12800	54
12801	13000	50
13001	13200	49
13201	13400	52
13401	13600	49
13601	13800	52
13801	14000	46
14001	14200	51
14201	14400	58
14401	14600	51
14601	14800	50
14801	15000	53
15001	15200	56
15201	15400	51
15401	15600	51
15601	15800	49
15801	16000	53
16001	16200	48
16201	16400	48
16401	16600	41
16601	16800	49
16801	17000	59
17001	17200	51
17201	17400	56
17401	17600	55
17601	17800	55
17801	18000	54
18001	18200	56
18201	18400	54
18401	18600	35
18601	18800	51
18801	19000	60
19001	19200	60
19201	19400	55
19401	19600	63
19601	19800	59
19801	20000	57
20001	20200	64
20201	20400	59
20401	20600	60
20601	20800	53
20801	21000	52
21001	21200	53
21201	21400	52
21401	21600	53
21601	21800	36
21801	22000	46
22001	22200	47
22201	22400	49
22401	22600	54
22601	22800	54
22801	23000	51
23001	23200	55
23201	23400	57
23401	23600	53
23601	23800	54
23801	24000	61
24001	24200	48
24201	24400	52
24401	24600	50
24601	24800	54
24801	25000	54
25001	25200	53
25201	25400	50
25401	25600	55
25601	25800	56
25801	26000	53
26001	26200	54
26201	26400	55
26401	26600	58
26601	26800	51
26801	27000	55
27001	27200	53
27201	27400	55
27401	27600	54
27601	27800	48
27801	28000	51
28001	28200	50
28201	28400	42
28401	28600	48
28601	28800	50
28801	29000	56
29001	29200	53
29201	29400	60
29401	29600	54
29601	29800	56
29801	30000	54
30001	30200	51
30201	30400	57
30401	30600	59
30601	30800	49
30801	31000	55
31001	31200	51
31201	31400	53
31401	31600	54
31601	31800	60
31801	32000	54
32001	32200	56
32201	32400	55
32401	32600	54
32601	32800	59
32801	33000	54
33001	33200	56
33201	33400	57
33401	33600	58
33601	33800	61
33801	34000	56
34001	34200	52
34201	34400	57
34401	34600	55
34601	34800	54
34801	35000	54
35001	35200	48
35201	35400	47
35401	35600	41
35601	35800	40
35801	36000	55
36001	36200	51
36201	36400	57
36401	36600	57
36601	36800	57
36801	37000	56
37001	37200	57
37201	37400	54
37401	37600	56
37601	37800	53
37801	38000	49
38001	38200	48
38201	38400	51
38401	38600	52
38601	38800	48
38801	39000	56
39001	39200	54
39201	39400	54
39401	39600	50
39601	39800	49
39801	40000	47
40001	40200	46
40201	40400	53
40401	40600	60
40601	40800	53
40801	41000	53
41001	41200	48
41201	41400	50
41401	41600	49
41601	41800	56
41801	42000	55
42001	42200	51
42201	42400	53
42401	42600	56
42601	42800	53
42801	43000	53
43001	43200	57
43201	43400	45
43401	43600	46
43601	43800	56
43801	44000	55
44001	44200	55
44201	44400	50
44401	44600	58
44601	44800	51
44801	45000	50
45001	45200	51
45201	45400	52
45401	45600	48
45601	45800	45
45801	46000	49
46001	46200	48
46201	46400	51
46401	46600	45
46601	46800	50
46801	47000	50
47001	47200	52
47201	47400	48
47401	47600	59
47601	47800	51
47801	48000	55
48001	48200	55
48201	48400	53
48401	48600	53
48601	48800	49
48801	49000	45
49001	49200	48
49201	49400	43
49401	49600	43
49601	49800	51
49801	50000	51
50001	50200	52
50201	50400	51
50401	50600	51
50601	50800	51
50801	51000	56
51001	51200	49
51201	51400	56
51401	51600	51
51601	51800	54
51801	52000	61
52001	52200	55
52201	52400	51
52401	52600	53
52601	52800	50
52801	53000	46
53001	53200	47
53201	53400	54
53401	53600	57
53601	53800	49
53801	54000	53
54001	54200	56
54201	54400	51
54401	54600	50
54601	54800	54
54801	55000	51
55001	55200	56
55201	55400	54
55401	55600	49
55601	55800	55
55801	56000	46
56001	56200	52
56201	56400	44
56401	56600	45
56601	56800	51
56801	57000	56
57001	57200	50
57201	57400	51
57401	57600	50
57601	57800	51
57801	58000	50
58001	58200	49
58201	58400	49
58401	58600	50
58601	58800	57
58801	59000	50
59001	59200	55
59201	59400	56
59401	59600	55
59601	59800	54
59801	60000	51
60001	60200	52
60201	60400	49
60401	60600	53
60601	60800	57
60801	61000	60
61001	61200	56
61201	61400	54
61401	61600	52
61601	61800	55
61801	62000	58
62001	62200	55
62201	62400	57
62401	62600	55
62601	62800	53
62801	63000	54
63001	63200	51
63201	63400	49
63401	63600	46
63601	63800	50
63801	64000	53
64001	64200	54
64201	64400	54
64401	64600	57
64601	64800	59
64801	65000	56
65001	65200	59
65201	65400	50
65401	65600	58
65601	65800	52
65801	66000	52
66001	66200	57
66201	66400	53
66401	66600	52
66601	66800	52
66801	67000	50
67001	67200	56
67201	67400	60
67401	67600	51
67601	67800	52
67801	68000	53
68001	68200	50
68201	68400	54
68401	68600	57
68601	68800	55
68801	69000	56
69001	69200	54
69201	69400	59
69401	69600	56
69601	69800	50
69801	70000	55
70001	70200	54
70201	70400	50
70401	70600	59
70601	70800	48
70801	71000	59
71001	71200	52
71201	71400	49
71401	71600	46
71601	71800	53
71801	72000	57
72001	72200	47
72201	72400	47
72401	72600	45
72601	72800	50
72801	73000	50
73001	73200	55
73201	73400	60
73401	73600	56
73601	73800	58
73801	74000	59
74001	74200	61
74201	74400	64
74401	74600	52
74601	74800	60
74801	75000	66
75001	75200	66
75201	75400	61
75401	75600	57
75601	75800	65
75801	76000	64
76001	76200	62
76201	76400	66
76401	76600	66
76601	76800	58
76801	77000	63
77001	77200	59
77201	77400	54
77401	77600	53
77601	77800	47
77801	78000	57
78001	78200	46
78201	78400	52
78401	78600	50
78601	78800	55
78801	79000	51
79001	79200	56
79201	79400	61
79401	79600	61
79601	79800	51
79801	80000	61
80001	80200	59
80201	80400	64
80401	80600	55
80601	80800	58
80801	81000	56
81001	81200	56
81201	81400	62
81401	81600	59
81601	81800	59
81801	82000	59
82001	82200	61
82201	82400	62
82401	82600	48
82601	82800	47
82801	83000	50
83001	83200	49
83201	83400	64
83401	83600	58
83601	83800	62
83801	84000	57
84001	84200	55
84201	84400	56
84401	84600	53
84601	84800	55
84801	85000	65
85001	85200	54
85201	85400	57
85401	85600	53
85601	85800	58
85801	86000	59
86001	86200	59
86201	86400	56
86401	86600	63
86601	86800	62
86801	87000	59
87001	87200	56
87201	87400	55
87401	87600	54
87601	87800	58
87801	88000	51
88001	88200	45
88201	88400	47
88401	88600	58
88601	88800	58
88801	89000	54
89001	89200	52
89201	89400	52
89401	89600	59
89601	89800	61
89801	90000	49
90001	90200	44
90201	90400	59
90401	90600	58
90601	90800	56
90801	91000	46
91001	91200	60
91201	91400	57
91401	91600	59
91601	91800	56
91801	92000	56
92001	92200	50
92201	92400	38
92401	92600	44
92601	92800	58
92801	93000	54
93001	93200	57
93201	93400	54
93401	93600	54
93601	93800	59
93801	94000	53
94001	94200	63
94201	94400	64
94401	94600	63
94601	94800	65
94801	95000	61
95001	95200	60
95201	95400	56
95401	95600	52
95601	95800	50
95801	96000	49
96001	96200	53
96201	96400	58
96401	96600	55
96601	96800	54
96801	97000	50
97001	97200	51
97201	97400	59
97401	97600	57
97601	97800	58
97801	98000	62
98001	98200	63
98201	98400	63
98401	98600	64
98601	98800	62
98801	99000	53
99001	99200	56
99201	99400	61
99401	99600	63
99601	99800	54
99801	100000	56
100001	100200	57
100201	100400	60
100401	100600	64
100601	100800	62
100801	101000	56
101001	101200	57
101201	101400	54
101401	101600	60
101601	101800	61
101801	102000	55
102001	102200	53
102201	102400	58
102401	102600	59
102601	102800	61
102801	103000	59
103001	103200	55
103201	103400	58
103401	103600	53
103601	103800	51
103801	104000	51
104001	104200	54
104201	104400	51
104401	104600	61
104601	104800	55
104801	105000	56
105001	105200	56
105201	105400	54
105401	105600	58
105601	105800	50
105801	106000	50
106001	106200	61
106201	106400	49
106401	106600	49
106601	106800	50
106801	107000	52
107001	107200	51
107201	107400	52
107401	107600	60
107601	107800	54
107801	108000	58
108001	108200	57
108201	108400	54
108401	108600	50
108601	108800	53
108801	109000	56
109001	109200	54
109201	109400	54
109401	109600	54
109601	109800	52
109801	110000	55
110001	110200	56
110201	110400	51
110401	110600	56
110601	110800	56
110801	111000	52
111001	111200	40
111201	111400	52
111401	111600	56
111601	111800	53
111801	112000	56
112001	112200	54
112201	112400	52
112401	112600	46
112601	112800	53
112801	113000	50
113001	113200	54
113201	113400	49
113401	113600	51
113601	113800	53
113801	114000	51
114001	114200	53
114201	114400	48
114401	114600	52
114601	114800	42
114801	115000	46
115001	115200	47
115201	115400	52
115401	115600	50
115601	115800	53
115801	116000	60
116001	116200	59
116201	116400	60
116401	116600	59
116601	116800	64
116801	117000	65
117001	117200	61
117201	117400	67
117401	117600	53
117601	117800	55
117801	118000	57
118001	118200	55
118201	118400	62
118401	118600	66
118601	118800	69
118801	119000	47
119001	119200	42
119201	119400	48
119401	119600	44
119601	119800	50
119801	120000	51
120001	120200	57
120201	120400	57
120401	120600	55
120601	120800	61
120801	121000	53
121001	121200	51
121201	121400	60
121401	121600	52
121601	121800	51
121801	122000	52
122001	122200	52
122201	122400	25
122401	122600	53
122601	122800	49
122801	123000	44
123001	123200	54
123201	123400	51
123401	123600	50
123601	123800	48
123801	124000	51
124001	124200	56
124201	124400	55
124401	124600	54
124601	124800	59
124801	125000	67
125001	125200	56
125201	125400	63
125401	125600	60
125601	125800	61
125801	126000	63
126001	126200	55
126201	126400	53
126401	126600	58
126601	126800	56
126801	127000	59
127001	127200	54
127201	127400	52
127401	127600	54
127601	127800	58
127801	128000	56
128001	128200	51
128201	128400	56
128401	128600	55
128601	128800	53
128801	129000	56
129001	129200	54
129201	129400	54
129401	129600	49
129601	129800	43
129801	130000	52
130001	130200	54
130201	130400	56
130401	130600	54
130601	130800	54
130801	131000	54
131001	131200	60
131201	131400	57
131401	131600	53
131601	131800	57
131801	132000	54
132001	132200	59
132201	132400	60
132401	132600	52
132601	132800	46
132801	133000	52
133001	133200	53
133201	133400	56
133401	133600	56
133601	133800	57
133801	134000	58
134001	134200	53
134201	134400	61
134401	134600	58
134601	134800	56
134801	135000	49
135001	135200	47
135201	135400	45
135401	135600	46
135601	135800	52
135801	136000	53
136001	136200	45
136201	136400	52
136401	136600	60
136601	136800	62
136801	137000	55
137001	137200	62
137201	137400	60
137401	137600	59
137601	137800	48
137801	138000	67
138001	138200	52
138201	138400	56
138401	138600	59
138601	138800	59
138801	139000	53
139001	139200	52
139201	139400	50
139401	139600	45
139601	139800	47
139801	140000	43
140001	140200	44
140201	140400	53
140401	140600	57
140601	140800	59
140801	141000	56
141001	141200	54
141201	141400	59
141401	141600	55
141601	141800	56
141801	142000	48
142001	142200	58
142201	142400	60
142401	142600	56
142601	142800	56
142801	143000	53
143001	143200	47
143201	143400	48
143401	143600	54
143601	143800	51
143801	144000	53
144001	144200	57
144201	144400	49
144401	144600	55
144601	144800	54
144801	145000	54
145001	145200	56
145201	145400	54
145401	145600	36
145601	145800	49
145801	146000	46
146001	146200	47
146201	146400	44
146401	146600	42
146601	146800	35
146801	147000	44
147001	147200	54
147201	147400	47
147401	147600	49
147601	147800	58
147801	148000	55
148001	148200	55
148201	148400	50
148401	148600	41
148601	148800	57
148801	149000	46
149001	149200	49
149201	149400	48
149401	149600	49
149601	149800	52
149801	150000	50
150001	150200	58
150201	150400	52
150401	150600	48
150601	150800	50
150801	151000	49
151001	151200	51
151201	151400	45
151401	151600	47
151601	151800	51
151801	152000	56
152001	152200	52
152201	152400	51
152401	152600	54
152601	152800	50
152801	153000	54
153001	153200	51
153201	153400	56
153401	153600	52
153601	153800	43
153801	154000	47
154001	154200	51
154201	154400	50
154401	154600	49
154601	154800	50
154801	155000	49
155001	155200	57
155201	155400	65
155401	155600	58
155601	155800	57
155801	156000	60
156001	156200	54
156201	156400	50
156401	156600	51
156601	156800	51
156801	157000	48
157001	157200	47
157201	157400	52
157401	157600	54
157601	157800	54
157801	158000	51
158001	158200	55
158201	158400	46
158401	158600	51
158601	158800	46
158801	159000	53
159001	159200	59
159201	159400	49
159401	159600	48
159601	159800	53
159801	160000	52
160001	160200	49
160201	160400	49
160401	160600	54
160601	160800	47
160801	161000	49
161001	161200	56
161201	161400	58
161401	161600	52
161601	161800	55
161801	162000	54
162001	162200	56
162201	162400	56
162401	162600	54
162601	162800	56
162801	163000	54
163001	163200	45
163201	163400	53
163401	163600	48
163601	163800	48
163801	164000	54
164001	164200	52
164201	164400	54
164401	164600	53
164601	164800	53
164801	165000	50
165001	165200	47
165201	165400	51
165401	165600	53
165601	165800	56
165801	166000	58
166001	166200	52
166201	166400	55
166401	166600	52
166601	166800	53
166801	167000	56
167001	167200	58
167201	167400	56
167401	167600	56
167601	167800	51
167801	168000	52
168001	168200	42
168201	168400	50
168401	168600	56
168601	168800	56
168801	169000	54
169001	169200	51
169201	169400	55
169401	169600	56
169601	169800	55
169801	170000	56
170001	170200	51
170201	170400	54
170401	170600	53
170601	170800	56
170801	171000	56
171001	171200	54
171201	171400	43
171401	171600	53
171601	171800	51
171801	172000	52
172001	172200	52
172201	172400	53
172401	172600	59
172601	172800	56
172801	173000	52
173001	173200	48
173201	173400	56
173401	173600	54
173601	173800	51
173801	174000	56
174001	174200	49
174201	174400	53
174401	174600	51
174601	174800	54
174801	175000	54
175001	175200	49
175201	175400	50
175401	175600	52
175601	175800	50
175801	176000	59
176001	176200	57
176201	176400	55
176401	176600	51
176601	176800	56
176801	177000	54
177001	177200	42
177201	177400	49
177401	177600	46
177601	177800	49
177801	178000	49
178001	178200	54
178201	178400	53
178401	178600	51
178601	178800	52
178801	179000	53
179001	179200	60
179201	179400	56
179401	179600	47
179601	179800	52
179801	180000	54
180001	180200	54
180201	180400	54
180401	180600	59
180601	180800	56
180801	181000	56
181001	181200	53
181201	181400	60
181401	181600	60
181601	181800	53
181801	182000	54
182001	182200	63
182201	182400	57
182401	182600	57
182601	182800	61
182801	183000	61
183001	183200	51
183201	183400	50
183401	183600	53
183601	183800	54
183801	184000	52
184001	184200	56
184201	184400	53
184401	184600	55
184601	184800	55
184801	185000	57
185001	185200	57
185201	185400	57
185401	185600	56
185601	185800	48
185801	186000	52
186001	186200	46
186201	186400	62
186401	186600	58
186601	186800	62
186801	187000	57
187001	187200	62
187201	187400	60
187401	187600	56
187601	187800	55
187801	188000	47
188001	188200	55
188201	188400	60
188401	188600	52
188601	188800	51
188801	189000	43
189001	189200	54
189201	189400	52
189401	189600	45
189601	189800	59
189801	190000	49
190001	190200	51
190201	190400	49
190401	190600	55
190601	190800	54
190801	191000	59
191001	191200	50
191201	191400	53
191401	191600	59
191601	191800	54
191801	192000	51
192001	192200	49
192201	192400	48
192401	192600	52
192601	192800	54
192801	193000	62
193001	193200	60
193201	193400	53
193401	193600	60
193601	193800	49
193801	194000	61
194001	194200	55
194201	194400	51
194401	194600	58
194601	194800	51
194801	195000	52
195001	195200	38
195201	195400	53
195401	195600	55
195601	195800	57
195801	196000	61
196001	196200	57
196201	196400	59
196401	196600	50
196601	196800	47
196801	197000	44
197001	197200	46
197201	197400	57
197401	197600	57
197601	197800	57
197801	198000	60
198001	198200	52
198201	198400	56
198401	198600	54
198601	198800	45
198801	199000	55
199001	199200	56
199201	199400	54
199401	199600	49
199601	199800	48
199801	200000	58
200001	200200	60
200201	200400	58
200401	200600	54
200601	200800	56
200801	201000	57
201001	201200	64
201201	201400	59
201401	201600	53
201601	201800	55
201801	202000	62
202001	202200	59
202201	202400	54
202401	202600	52
202601	202800	63
202801	203000	58
203001	203200	56
203201	203400	61
203401	203600	55
203601	203800	62
203801	204000	57
204001	204200	52
204201	204400	53
204401	204600	52
204601	204800	54
204801	205000	61
205001	205200	56
205201	205400	55
205401	205600	53
205601	205800	49
205801	206000	55
206001	206200	52
206201	206400	48
206401	206600	53
206601	206800	46
206801	207000	48
207001	207200	50
207201	207400	56
207401	207600	53
207601	207800	52
207801	208000	50
208001	208200	49
208201	208400	55
208401	208600	50
208601	208800	50
208801	209000	57
209001	209200	56
209201	209400	56
209401	209600	54
209601	209800	54
209801	210000	54
210001	210200	53
210201	210400	56
210401	210600	56
210601	210800	53
210801	211000	50
211001	211200	48
211201	211400	52
211401	211600	54
211601	211800	50
211801	212000	53
212001	212200	59
212201	212400	56
212401	212600	53
212601	212800	53
212801	213000	56
213001	213200	53
213201	213400	57
213401	213600	57
213601	213800	48
213801	214000	49
214001	214200	53
214201	214400	57
214401	214600	53
214601	214800	52
214801	215000	49
215001	215200	54
215201	215400	54
215401	215600	48
215601	215800	46
215801	216000	49
