chr	window.start	window.end	sample	ratio	log2ratio	ColName	Line	Group	H2O2Shock	y.order	ConsecutiveAboveThreshold
USMA_521_v2_9	1	1000	2021EE08	2.41260906912609	1.27059416514982	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	1001	2000	2021EE08	1.86521733568706	0.899343743536705	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	2001	3000	2021EE08	2.65261855132882	1.40741722977989	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	3001	4000	2021EE08	2.72443878051171	1.4459590732068	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	4001	5000	2021EE08	2.74321220781872	1.45586622966919	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	5001	6000	2021EE08	2.67718751570589	1.42071819183808	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	6001	7000	2021EE08	2.73928270486623	1.45379816559115	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	7001	8000	2021EE08	2.85050051966523	1.51121526448391	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	8001	9000	2021EE08	2.93667618295572	1.55418419348042	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	9001	10000	2021EE08	2.83952566174985	1.50564994994272	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	10001	11000	2021EE08	2.68259710586443	1.42363039525521	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	11001	12000	2021EE08	2.90474650480123	1.53841226613459	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	12001	13000	2021EE08	2.66988988618488	1.41678024231324	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	13001	14000	2021EE08	2.74630578635753	1.45749227075103	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	14001	15000	2021EE08	2.67619821683661	1.42018497541759	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	15001	16000	2021EE08	2.71475152322925	1.44082015655273	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	16001	17000	2021EE08	2.54635251260975	1.34843215725564	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	17001	18000	2021EE08	2.86633663366337	1.51920805523744	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	18001	19000	2021EE08	2.65059086553817	1.40631399883151	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	19001	20000	2021EE08	2.90976597659766	1.54090312633676	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	20001	21000	2021EE08	2.97249724972497	1.57167547513158	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	21001	22000	2021EE08	2.74110833413438	1.4547593475106	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	22001	23000	2021EE08	2.77220406769741	1.47103346116157	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	23001	24000	2021EE08	2.9166232412715	1.54429903620027	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	24001	25000	2021EE08	2.57790024285447	1.36619643673148	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	25001	26000	2021EE08	2.72424473216552	1.44585631349018	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	26001	27000	2021EE08	2.72513778471443	1.44632917532035	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	27001	28000	2021EE08	2.74574641930212	1.45719839296202	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	28001	29000	2021EE08	2.49780763790665	1.32066237585536	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	29001	30000	2021EE08	2.67929173869768	1.42185167974577	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	30001	31000	2021EE08	2.60146064111362	1.37932188017651	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	31001	32000	2021EE08	2.62747524752475	1.39367717315358	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	32001	33000	2021EE08	2.64653930181751	1.40410707853965	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	33001	34000	2021EE08	3.05963486522063	1.61335949292875	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	34001	35000	2021EE08	2.88805130513051	1.53009637138018	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	35001	36000	2021EE08	2.74528470946642	1.45695577678438	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	36001	37000	2021EE08	2.79191750833375	1.48125631544586	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	37001	38000	2021EE08	2.87139190109487	1.52175024979989	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	38001	39000	2021EE08	3.12472756709633	1.64373041226038	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	39001	40000	2021EE08	2.75094465968336	1.45992711747912	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	40001	41000	2021EE08	2.68957920792079	1.42738047682179	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	41001	42000	2021EE08	2.58106142367791	1.3679644748612	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	42001	43000	2021EE08	2.80535074784074	1.48818115961682	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	43001	44000	2021EE08	2.52255482557602	1.33488562541769	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	44001	45000	2021EE08	2.6351100863511	1.39786323424019	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	45001	46000	2021EE08	2.6252838586611	1.39247342252814	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	46001	47000	2021EE08	2.77722772277228	1.473645477857	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	47001	48000	2021EE08	2.83221357850071	1.50193006380561	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	48001	49000	2021EE08	2.40630729739641	1.26682089360316	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	49001	50000	2021EE08	2.78753700112279	1.47899095516104	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	50001	51000	2021EE08	2.69759969116178	1.43167627622382	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	51001	52000	2021EE08	2.80545039798097	1.48823240533358	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	52001	53000	2021EE08	2.92079207920792	1.54635966149741	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	53001	54000	2021EE08	2.81832429474103	1.49483762708269	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	54001	55000	2021EE08	2.50694886002362	1.32593256651775	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	55001	56000	2021EE08	2.67034780401117	1.41702766043096	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	56001	57000	2021EE08	2.75271608241905	1.46085581675915	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	57001	58000	2021EE08	2.76291211595386	1.46618967293795	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	58001	59000	2021EE08	3.04327099376604	1.60562280705492	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	59001	60000	2021EE08	2.80662128712871	1.48883440619392	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	60001	61000	2021EE08	2.93943082832873	1.55553682831247	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	61001	62000	2021EE08	2.88111156476472	1.52662552679992	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	62001	63000	2021EE08	2.87506216375062	1.52359314992316	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	63001	64000	2021EE08	2.6898380724772	1.42751932554559	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	64001	65000	2021EE08	2.71287128712871	1.43982060020873	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	65001	66000	2021EE08	3.08682406702209	1.62612325915395	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	66001	67000	2021EE08	3.05742574257426	1.61231745962892	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	67001	68000	2021EE08	2.80360536053605	1.4872832878412	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	68001	69000	2021EE08	2.89287678767877	1.5325048778509	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	69001	70000	2021EE08	3.00358295498058	1.58668450973966	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	70001	71000	2021EE08	3.11068908614999	1.63723420448807	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	71001	72000	2021EE08	2.88964018353055	1.53088986028508	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	72001	73000	2021EE08	2.82334158415842	1.49740368491909	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	73001	74000	2021EE08	3.19661410585503	1.67654459298553	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
USMA_521_v2_9	74001	75000	2021EE08	3.06371909646054	1.61528402679249	T20.LA.C1	Line A	H2O2_Shock	60mM	1	Yes
