chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	78.0	170.0	0.4588235294117647
USMA_521_v2_1	1001	2000	177.0	170.0	1.0411764705882354
USMA_521_v2_1	2001	3000	191.0	170.0	1.1235294117647059
USMA_521_v2_1	3001	4000	162.0	170.0	0.9529411764705882
USMA_521_v2_1	4001	5000	183.0	170.0	1.076470588235294
USMA_521_v2_1	5001	6000	177.0	170.0	1.0411764705882354
USMA_521_v2_1	6001	7000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	7001	8000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	8001	9000	155.0	170.0	0.9117647058823529
USMA_521_v2_1	9001	10000	0.0	170.0	0.0
USMA_521_v2_1	10001	11000	148.0	170.0	0.8705882352941177
USMA_521_v2_1	11001	12000	152.0	170.0	0.8941176470588236
USMA_521_v2_1	12001	13000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	13001	14000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	14001	15000	168.0	170.0	0.9882352941176471
USMA_521_v2_1	15001	16000	175.0	170.0	1.0294117647058822
USMA_521_v2_1	16001	17000	188.0	170.0	1.1058823529411765
USMA_521_v2_1	17001	18000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	18001	19000	176.0	170.0	1.035294117647059
USMA_521_v2_1	19001	20000	179.0	170.0	1.0529411764705883
USMA_521_v2_1	20001	21000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	21001	22000	162.0	170.0	0.9529411764705882
USMA_521_v2_1	22001	23000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	23001	24000	176.0	170.0	1.035294117647059
USMA_521_v2_1	24001	25000	165.0	170.0	0.9705882352941176
USMA_521_v2_1	25001	26000	178.0	170.0	1.0470588235294118
USMA_521_v2_1	26001	27000	199.0	170.0	1.1705882352941177
USMA_521_v2_1	27001	28000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	28001	29000	182.0	170.0	1.0705882352941176
USMA_521_v2_1	29001	30000	192.0	170.0	1.1294117647058823
USMA_521_v2_1	30001	31000	182.0	170.0	1.0705882352941176
USMA_521_v2_1	31001	32000	159.0	170.0	0.9352941176470588
USMA_521_v2_1	32001	33000	166.0	170.0	0.9764705882352941
USMA_521_v2_1	33001	34000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	34001	35000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	35001	36000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	36001	37000	185.0	170.0	1.088235294117647
USMA_521_v2_1	37001	38000	175.0	170.0	1.0294117647058822
USMA_521_v2_1	38001	39000	189.0	170.0	1.111764705882353
USMA_521_v2_1	39001	40000	145.0	170.0	0.8529411764705882
USMA_521_v2_1	40001	41000	153.0	170.0	0.9
USMA_521_v2_1	41001	42000	175.0	170.0	1.0294117647058822
USMA_521_v2_1	42001	43000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	43001	44000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	44001	45000	161.0	170.0	0.9470588235294117
USMA_521_v2_1	45001	46000	168.0	170.0	0.9882352941176471
USMA_521_v2_1	46001	47000	149.0	170.0	0.8764705882352941
USMA_521_v2_1	47001	48000	152.0	170.0	0.8941176470588236
USMA_521_v2_1	48001	49000	167.0	170.0	0.9823529411764705
USMA_521_v2_1	49001	50000	168.0	170.0	0.9882352941176471
USMA_521_v2_1	50001	51000	165.0	170.0	0.9705882352941176
USMA_521_v2_1	51001	52000	181.5	170.0	1.0676470588235294
USMA_521_v2_1	52001	53000	157.0	170.0	0.9235294117647059
USMA_521_v2_1	53001	54000	186.0	170.0	1.0941176470588236
USMA_521_v2_1	54001	55000	168.0	170.0	0.9882352941176471
USMA_521_v2_1	55001	56000	180.0	170.0	1.0588235294117647
USMA_521_v2_1	56001	57000	179.0	170.0	1.0529411764705883
USMA_521_v2_1	57001	58000	176.0	170.0	1.035294117647059
USMA_521_v2_1	58001	59000	187.0	170.0	1.1
USMA_521_v2_1	59001	60000	177.0	170.0	1.0411764705882354
USMA_521_v2_1	60001	61000	173.0	170.0	1.0176470588235293
USMA_521_v2_1	61001	62000	170.0	170.0	1.0
USMA_521_v2_1	62001	63000	176.0	170.0	1.035294117647059
USMA_521_v2_1	63001	64000	160.0	170.0	0.9411764705882353
USMA_521_v2_1	64001	65000	146.0	170.0	0.8588235294117647
USMA_521_v2_1	65001	66000	160.0	170.0	0.9411764705882353
USMA_521_v2_1	66001	67000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	67001	68000	162.0	170.0	0.9529411764705882
USMA_521_v2_1	68001	69000	188.0	170.0	1.1058823529411765
USMA_521_v2_1	69001	70000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	70001	71000	176.0	170.0	1.035294117647059
USMA_521_v2_1	71001	72000	185.0	170.0	1.088235294117647
USMA_521_v2_1	72001	73000	170.0	170.0	1.0
USMA_521_v2_1	73001	74000	187.0	170.0	1.1
USMA_521_v2_1	74001	75000	182.0	170.0	1.0705882352941176
USMA_521_v2_1	75001	76000	178.0	170.0	1.0470588235294118
USMA_521_v2_1	76001	77000	175.0	170.0	1.0294117647058822
USMA_521_v2_1	77001	78000	155.0	170.0	0.9117647058823529
USMA_521_v2_1	78001	79000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	79001	80000	151.0	170.0	0.888235294117647
USMA_521_v2_1	80001	81000	155.0	170.0	0.9117647058823529
USMA_521_v2_1	81001	82000	182.0	170.0	1.0705882352941176
USMA_521_v2_1	82001	83000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	83001	84000	169.0	170.0	0.9941176470588236
USMA_521_v2_1	84001	85000	179.0	170.0	1.0529411764705883
USMA_521_v2_1	85001	86000	150.0	170.0	0.8823529411764706
USMA_521_v2_1	86001	87000	176.0	170.0	1.035294117647059
USMA_521_v2_1	87001	88000	150.0	170.0	0.8823529411764706
USMA_521_v2_1	88001	89000	133.5	170.0	0.7852941176470588
USMA_521_v2_1	89001	90000	164.0	170.0	0.9647058823529412
USMA_521_v2_1	90001	91000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	91001	92000	148.0	170.0	0.8705882352941177
USMA_521_v2_1	92001	93000	172.0	170.0	1.011764705882353
USMA_521_v2_1	93001	94000	149.0	170.0	0.8764705882352941
USMA_521_v2_1	94001	95000	157.0	170.0	0.9235294117647059
USMA_521_v2_1	95001	96000	173.0	170.0	1.0176470588235293
USMA_521_v2_1	96001	97000	161.0	170.0	0.9470588235294117
USMA_521_v2_1	97001	98000	164.5	170.0	0.9676470588235294
USMA_521_v2_1	98001	99000	171.0	170.0	1.0058823529411764
USMA_521_v2_1	99001	100000	181.0	170.0	1.0647058823529412
USMA_521_v2_1	100001	101000	170.0	170.0	1.0
USMA_521_v2_1	101001	102000	159.0	170.0	0.9352941176470588
