chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	92.0	302.0	0.304635761589404
USMA_521_v2_1	1001	2000	330.0	302.0	1.0927152317880795
USMA_521_v2_1	2001	3000	332.0	302.0	1.099337748344371
USMA_521_v2_1	3001	4000	321.0	302.0	1.0629139072847682
USMA_521_v2_1	4001	5000	320.0	302.0	1.0596026490066226
USMA_521_v2_1	5001	6000	335.0	302.0	1.109271523178808
USMA_521_v2_1	6001	7000	303.0	302.0	1.0033112582781456
USMA_521_v2_1	7001	8000	294.0	302.0	0.9735099337748344
USMA_521_v2_1	8001	9000	281.0	302.0	0.9304635761589404
USMA_521_v2_1	9001	10000	0.0	302.0	0.0
USMA_521_v2_1	10001	11000	259.0	302.0	0.8576158940397351
USMA_521_v2_1	11001	12000	265.0	302.0	0.8774834437086093
USMA_521_v2_1	12001	13000	288.5	302.0	0.9552980132450332
USMA_521_v2_1	13001	14000	290.0	302.0	0.9602649006622517
USMA_521_v2_1	14001	15000	308.0	302.0	1.0198675496688743
USMA_521_v2_1	15001	16000	316.0	302.0	1.0463576158940397
USMA_521_v2_1	16001	17000	332.0	302.0	1.099337748344371
USMA_521_v2_1	17001	18000	299.0	302.0	0.9900662251655629
USMA_521_v2_1	18001	19000	316.0	302.0	1.0463576158940397
USMA_521_v2_1	19001	20000	305.0	302.0	1.009933774834437
USMA_521_v2_1	20001	21000	296.0	302.0	0.9801324503311258
USMA_521_v2_1	21001	22000	292.0	302.0	0.9668874172185431
USMA_521_v2_1	22001	23000	304.0	302.0	1.0066225165562914
USMA_521_v2_1	23001	24000	283.0	302.0	0.9370860927152318
USMA_521_v2_1	24001	25000	313.0	302.0	1.0364238410596027
USMA_521_v2_1	25001	26000	309.5	302.0	1.0248344370860927
USMA_521_v2_1	26001	27000	350.0	302.0	1.1589403973509933
USMA_521_v2_1	27001	28000	307.0	302.0	1.0165562913907285
USMA_521_v2_1	28001	29000	307.0	302.0	1.0165562913907285
USMA_521_v2_1	29001	30000	328.0	302.0	1.086092715231788
USMA_521_v2_1	30001	31000	333.0	302.0	1.1026490066225165
USMA_521_v2_1	31001	32000	291.0	302.0	0.9635761589403974
USMA_521_v2_1	32001	33000	281.0	302.0	0.9304635761589404
USMA_521_v2_1	33001	34000	304.0	302.0	1.0066225165562914
USMA_521_v2_1	34001	35000	311.0	302.0	1.0298013245033113
USMA_521_v2_1	35001	36000	327.5	302.0	1.0844370860927153
USMA_521_v2_1	36001	37000	316.0	302.0	1.0463576158940397
USMA_521_v2_1	37001	38000	331.0	302.0	1.096026490066225
USMA_521_v2_1	38001	39000	334.0	302.0	1.1059602649006623
USMA_521_v2_1	39001	40000	262.0	302.0	0.8675496688741722
USMA_521_v2_1	40001	41000	279.0	302.0	0.9238410596026491
USMA_521_v2_1	41001	42000	306.0	302.0	1.0132450331125828
USMA_521_v2_1	42001	43000	287.0	302.0	0.9503311258278145
USMA_521_v2_1	43001	44000	291.5	302.0	0.9652317880794702
USMA_521_v2_1	44001	45000	284.0	302.0	0.9403973509933775
USMA_521_v2_1	45001	46000	281.0	302.0	0.9304635761589404
USMA_521_v2_1	46001	47000	268.0	302.0	0.8874172185430463
USMA_521_v2_1	47001	48000	289.0	302.0	0.956953642384106
USMA_521_v2_1	48001	49000	307.0	302.0	1.0165562913907285
USMA_521_v2_1	49001	50000	275.0	302.0	0.9105960264900662
USMA_521_v2_1	50001	51000	293.0	302.0	0.9701986754966887
USMA_521_v2_1	51001	52000	320.0	302.0	1.0596026490066226
