chr	window.start	window.end	window.median.coverage	global.coverage.median	normalized.coverage
USMA_521_v2_1	1	1000	70.5	216.0	0.3263888888888889
USMA_521_v2_1	1001	2000	221.0	216.0	1.0231481481481481
USMA_521_v2_1	2001	3000	239.0	216.0	1.1064814814814814
USMA_521_v2_1	3001	4000	219.0	216.0	1.0138888888888888
USMA_521_v2_1	4001	5000	229.0	216.0	1.0601851851851851
USMA_521_v2_1	5001	6000	246.5	216.0	1.1412037037037037
USMA_521_v2_1	6001	7000	226.0	216.0	1.0462962962962963
USMA_521_v2_1	7001	8000	209.0	216.0	0.9675925925925926
USMA_521_v2_1	8001	9000	214.0	216.0	0.9907407407407407
USMA_521_v2_1	9001	10000	0.0	216.0	0.0
USMA_521_v2_1	10001	11000	193.0	216.0	0.8935185185185185
USMA_521_v2_1	11001	12000	194.5	216.0	0.9004629629629629
USMA_521_v2_1	12001	13000	208.0	216.0	0.9629629629629629
USMA_521_v2_1	13001	14000	208.0	216.0	0.9629629629629629
USMA_521_v2_1	14001	15000	218.0	216.0	1.0092592592592593
USMA_521_v2_1	15001	16000	232.0	216.0	1.0740740740740742
USMA_521_v2_1	16001	17000	237.5	216.0	1.099537037037037
USMA_521_v2_1	17001	18000	229.0	216.0	1.0601851851851851
USMA_521_v2_1	18001	19000	206.0	216.0	0.9537037037037037
USMA_521_v2_1	19001	20000	224.0	216.0	1.037037037037037
USMA_521_v2_1	20001	21000	219.0	216.0	1.0138888888888888
USMA_521_v2_1	21001	22000	213.0	216.0	0.9861111111111112
USMA_521_v2_1	22001	23000	211.0	216.0	0.9768518518518519
USMA_521_v2_1	23001	24000	212.0	216.0	0.9814814814814815
USMA_521_v2_1	24001	25000	223.0	216.0	1.0324074074074074
USMA_521_v2_1	25001	26000	200.0	216.0	0.9259259259259259
USMA_521_v2_1	26001	27000	247.0	216.0	1.1435185185185186
USMA_521_v2_1	27001	28000	234.0	216.0	1.0833333333333333
USMA_521_v2_1	28001	29000	224.0	216.0	1.037037037037037
USMA_521_v2_1	29001	30000	243.0	216.0	1.125
USMA_521_v2_1	30001	31000	231.0	216.0	1.0694444444444444
USMA_521_v2_1	31001	32000	209.0	216.0	0.9675925925925926
USMA_521_v2_1	32001	33000	200.0	216.0	0.9259259259259259
USMA_521_v2_1	33001	34000	204.5	216.0	0.9467592592592593
USMA_521_v2_1	34001	35000	216.0	216.0	1.0
USMA_521_v2_1	35001	36000	232.0	216.0	1.0740740740740742
USMA_521_v2_1	36001	37000	223.0	216.0	1.0324074074074074
USMA_521_v2_1	37001	38000	225.0	216.0	1.0416666666666667
USMA_521_v2_1	38001	39000	255.5	216.0	1.1828703703703705
USMA_521_v2_1	39001	40000	170.0	216.0	0.7870370370370371
USMA_521_v2_1	40001	41000	187.0	216.0	0.8657407407407407
