KIS_ID,Chromosome,Start_position,End_position,UMAG_ID,Description,Gene_type,Prot_ID,ProteinNames,GeneNames,ProteinLength,Gene_Ontology_biological_process,,,,,,,,,
KIS66831,USMA_521_v2_16,34,2578,UMAG_05621,hypothetical protein,Hypothetical,12200,DUF3987 domain-containing protein,UMAG_05621,825,,,,,,,,,,
KIS66832,USMA_521_v2_16,4371,5366,UMAG_12015,hypothetical protein,Hypothetical,12201,NA,NA,NA,NA,,,,,,,,,
KIS66833,USMA_521_v2_16,5640,6050,UMAG_12016,hypothetical protein,Hypothetical,12202,Plug domain-containing protein,UMAG_12016,136,,,,,,,,,,
KIS66834,USMA_521_v2_16,7629,9082,UMAG_12017,hypothetical protein,Hypothetical,12203,Phosphoglycerate mutase-like protein,UMAG_12017,310,,,,,,,,,,
KIS66835,USMA_521_v2_16,9690,12623,UMAG_05624,hypothetical protein,Hypothetical,12204,JmjC domain-containing protein,UMAG_05624,977,,,,,,,,,,
KIS66836,USMA_521_v2_16,12778,13454,UMAG_05625,hypothetical protein,Hypothetical,12205,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (NADH-ubiquinone oxidoreductase B22 subunit),UMAG_05625,129,mitochondrial electron transport, NADH to ubiquinone [GO:0006120],,,,,,,,
KIS66837,USMA_521_v2_16,13918,14796,UMAG_05626,hypothetical protein,Hypothetical,12206,Fe2OG dioxygenase domain-containing protein,UMAG_05626,292,,,,,,,,,,
KIS66838,USMA_521_v2_16,15414,16178,UMAG_05627,hypothetical protein,Hypothetical,12207,Related to XPT1-xanthine phosphoribosyl transferase,UMAG_05627,254,GMP salvage [GO:0032263]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; XMP salvage [GO:0032265],,,,,,,,,
KIS66839,USMA_521_v2_16,16553,17338,UMAG_05628,hypothetical protein,Hypothetical,12208,Vacuolar protein sorting-associated protein 51 homolog,UMAG_05628,261,endocytic recycling [GO:0032456]; Golgi organization [GO:0007030]; lipid transport [GO:0006869]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147],,,,,,,,
KIS66840,USMA_521_v2_16,18009,20078,UMAG_05629,hypothetical protein,Hypothetical,12209,Usp domain-containing protein,UMAG_05629,689,,,,,,,,,,
KIS66841,USMA_521_v2_16,20433,21851,UMAG_12018,hypothetical protein,Hypothetical,12210,F-BAR domain-containing protein,UMAG_12018,472,,,,,,,,,,
KIS66842,USMA_521_v2_16,21952,27464,UMAG_12019,hypothetical protein,Hypothetical,12392,THO complex subunit 2,UMAG_12019,1836,mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397],,,,,,,,,
KIS66843,USMA_521_v2_16,27611,31792,UMAG_05631,hypothetical protein,Hypothetical,12212,DH domain-containing protein,UMAG_05631,1393,,,,,,,,,,
KIS66844,USMA_521_v2_16,32938,33564,UMAG_05632,putative iron-Sulfur cluster nifU-like protein,Putative,12213,Iron-sulfur cluster assembly protein,UMAG_05632,208,cellular iron ion homeostasis [GO:0006879]; iron-sulfur cluster assembly [GO:0016226],,,,,,,,,
KIS66845,USMA_521_v2_16,36168,37523,UMAG_05633,hypothetical protein,Hypothetical,12214,Transmembrane protein,UMAG_05633,451,,,,,,,,,,
KIS66846,USMA_521_v2_16,41489,43114,UMAG_15021,hypothetical protein,Hypothetical,12215,MFS domain-containing protein,UMAG_15021,507,,,,,,,,,,
KIS66847,USMA_521_v2_16,44840,47338,UMAG_05635,hypothetical protein,Hypothetical,12216,TBC-domain-containing protein,UMAG_05635,832,,,,,,,,,,
KIS66848,USMA_521_v2_16,48326,50026,UMAG_05636,hypothetical protein,Hypothetical,12217,Rab-GAP TBC domain-containing protein,UMAG_05636,566,activation of GTPase activity [GO:0090630],,,,,,,,,
KIS66849,USMA_521_v2_16,52106,55174,UMAG_10718,chitin synthase 1,Annotated,12218,Chitin synthase 1 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase 1),CHS1,UMAG_10718,919,cell wall chitin biosynthetic process [GO:0006038]; cell wall organization [GO:0071555],,,,,,,,
KIS66850,USMA_521_v2_16,56062,57180,UMAG_10719,hypothetical protein,Hypothetical,12219,Aldo_ket_red domain-containing protein,UMAG_10719,372,,,,,,,,,,
KIS66851,USMA_521_v2_16,57380,62341,UMAG_10720,hypothetical protein,Hypothetical,12220,Protein kinase domain-containing protein,UMAG_10720,1653,intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468],,,,,,,,,
KIS66852,USMA_521_v2_16,63518,64324,UMAG_05640,putative coatomer complex zeta chain,Putative,12221,Coatomer subunit zeta,UMAG_05640,210,intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890],,,,,,,,
KIS66853,USMA_521_v2_16,64939,66147,UMAG_05641,hypothetical protein,Hypothetical,12222,Palmitoyl-protein thioesterase 1 (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1),UMAG_05641,402,protein depalmitoylation [GO:0002084],,,,,,,,,
KIS66854,USMA_521_v2_16,66613,71016,UMAG_05642,putative ABC transporter involved in multidrug resistance,Putative,12223,Putative ABC transporter involved in multidrug resistance,UMAG_05642,1467,,,,,,,,,,
KIS66855,USMA_521_v2_16,72328,74973,UMAG_10721,hypothetical protein,Hypothetical,12224,DNA-directed RNA polymerase,UMAG_10721,881,,,,,,,,,,
KIS66856,USMA_521_v2_16,75472,77574,UMAG_10722,hypothetical protein,Hypothetical,12225,Rab-GAP TBC domain-containing protein,UMAG_10722,668,activation of GTPase activity [GO:0090630],,,,,,,,,
KIS66857,USMA_521_v2_16,78023,78738,UMAG_12311,hypothetical protein,Hypothetical,12226,Uncharacterized protein,UMAG_12311,198,,,,,,,,,,
KIS66858,USMA_521_v2_16,80472,81539,UMAG_05644,hypothetical protein,Hypothetical,12227,PKS_ER domain-containing protein,UMAG_05644,355,,,,,,,,,,
KIS66859,USMA_521_v2_16,82356,83131,UMAG_05645,hypothetical protein,Hypothetical,12228,t-SNARE coiled-coil homology domain-containing protein,UMAG_05645,224,Golgi to vacuole transport [GO:0006896]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; macroautophagy [GO:0016236]; retrograde transport, endosome to Golgi [GO:0042147]; vacuolar calcium ion homeostasis [GO:0007036]; vacuole fusion, non-autophagic [GO:0042144]; vesicle fusion [GO:0006906]; vesicle fusion with Golgi apparatus [GO:0048280],,,,,,,
KIS66860,USMA_521_v2_16,83378,86497,UMAG_05646,hypothetical protein,Hypothetical,12229,Myotubularin phosphatase domain-containing protein,UMAG_05646,1039,phosphatidylinositol dephosphorylation [GO:0046856],,,,,,,,,
KIS66861,USMA_521_v2_16,87482,89887,UMAG_05647,hypothetical protein,Hypothetical,12230,Related to cation diffusion facilitator 10,UMAG_05647,801,cellular transition metal ion homeostasis [GO:0046916],,,,,,,,,
KIS66862,USMA_521_v2_16,90275,94009,UMAG_05648,hypothetical protein,Hypothetical,12231,WD_REPEATS_REGION domain-containing protein,UMAG_05648,1244,,,,,,,,,,
KIS66863,USMA_521_v2_16,94800,97178,UMAG_05649,hypothetical protein,Hypothetical,12232,Low temperature requirement A,UMAG_05649,792,,,,,,,,,,
KIS66864,USMA_521_v2_16,97384,98316,UMAG_10723,hypothetical protein,Hypothetical,12233,RNA-binding domain-containing protein,UMAG_10723,310,,,,,,,,,,
