Strain,Line,Chr9.LA,HaloSize_cm,Date,Gen
SG200,Initial,1X,0,20220428,NA
SG200,Initial,1X,3.6,20220428,NA
SG200,Initial,1X,3.7,20220428,NA
SG200,Initial,1X,3.7,20220428,NA
U20.LD.1,D,1X,0,20220428,200
U20.LD.1,D,1X,3.8,20220428,200
U20.LD.1,D,1X,3.8,20220428,200
U20.LD.1,D,1X,3.75,20220428,200
U20.LD.2,D,1X,0,20220428,200
U20.LD.2,D,1X,3.6,20220428,200
U20.LD.2,D,1X,3.9,20220428,200
U20.LD.2,D,1X,3.5,20220428,200
U20.LE.1,E,1X,0,20220428,200
U20.LE.1,E,1X,3.8,20220428,200
U20.LE.1,E,1X,3.8,20220428,200
U20.LE.1,E,1X,3.8,20220428,200
U20.LE.2,E,1X,0,20220428,200
U20.LE.2,E,1X,3.6,20220428,200
U20.LE.2,E,1X,3.9,20220428,200
U20.LE.2,E,1X,3.4,20220428,200
U20.LF.1,F,1X,0,20220428,200
U20.LF.1,F,1X,3.7,20220428,200
U20.LF.1,F,1X,3.7,20220428,200
U20.LF.1,F,1X,3.8,20220428,200
U20.LF.2,F,1X,0,20220428,200
U20.LF.2,F,1X,3.9,20220428,200
U20.LF.2,F,1X,4,20220428,200
U20.LF.2,F,1X,3.6,20220428,200
T20.LA.1,A,3X,0,20220428,200
T20.LA.1,A,3X,1.8,20220428,200
T20.LA.1,A,3X,1.8,20220428,200
T20.LA.1,A,3X,1.7,20220428,200
T20.LA.2,A,3X,0,20220428,200
T20.LA.2,A,3X,2.1,20220428,200
T20.LA.2,A,3X,1.9,20220428,200
T20.LA.2,A,3X,2.2,20220428,200
T20.LA.3,A,3X,0,20220428,200
T20.LA.3,A,3X,2.2,20220428,200
T20.LA.3,A,3X,2.3,20220428,200
T20.LA.3,A,3X,2.3,20220428,200
T20.LA.4,A,1X,0,20220428,200
T20.LA.4,A,1X,2.5,20220428,200
T20.LA.4,A,1X,2.6,20220428,200
T20.LA.4,A,1X,2.5,20220428,200
T20.LA.5,A,1X,0,20220428,200
T20.LA.5,A,1X,2.5,20220428,200
T20.LA.5,A,1X,2.4,20220428,200
T20.LA.5,A,1X,2.3,20220428,200
T20.LB.1,B,2X,0,20220428,200
T20.LB.1,B,2X,1.8,20220428,200
T20.LB.1,B,2X,2,20220428,200
T20.LB.1,B,2X,2.2,20220428,200
T20.LB.2,B,1X,0,20220428,200
T20.LB.2,B,1X,2,20220428,200
T20.LB.2,B,1X,2.1,20220428,200
T20.LB.2,B,1X,2.3,20220428,200
T20.LB.3,B,1X,0,20220428,200
T20.LB.3,B,1X,2.3,20220428,200
T20.LB.3,B,1X,2.4,20220428,200
T20.LB.3,B,1X,2.5,20220428,200
T20.LB.4,B,2X,0,20220428,200
T20.LB.4,B,2X,2.5,20220428,200
T20.LB.4,B,2X,2.3,20220428,200
T20.LB.4,B,2X,2.2,20220428,200
T20.LB.5,B,1X,0,20220428,200
T20.LB.5,B,1X,2.6,20220428,200
T20.LB.5,B,1X,2.5,20220428,200
T20.LB.5,B,1X,2.5,20220428,200
T20.LC.1,C,3X,0,20220428,200
T20.LC.1,C,3X,1.7,20220428,200
T20.LC.1,C,3X,1.8,20220428,200
T20.LC.1,C,3X,1.8,20220428,200
T20.LC.2,C,1X,0,20220428,200
T20.LC.2,C,1X,2.4,20220428,200
T20.LC.2,C,1X,2.5,20220428,200
T20.LC.2,C,1X,2.4,20220428,200
T20.LC.3,C,3X,0,20220428,200
T20.LC.3,C,3X,2.2,20220428,200
T20.LC.3,C,3X,2.1,20220428,200
T20.LC.3,C,3X,2.2,20220428,200
T20.LC.4,C,1X,0,20220428,200
T20.LC.4,C,1X,2,20220428,200
T20.LC.4,C,1X,2.7,20220428,200
T20.LC.4,C,1X,2.5,20220428,200
T20.LC.5,C,1X,0,20220428,200
T20.LC.5,C,1X,2.5,20220428,200
T20.LC.5,C,1X,2.5,20220428,200
T20.LC.5,C,1X,2.6,20220428,200
SG200,Initial,1X,3.9,20210623,NA
SG200,Initial,1X,3.8,20210623,NA
SG200,Initial,1X,3.65,20210623,NA
SG200,Initial,1X,3.7,20210623,NA
SG200,Initial,1X,3.75,20210623,NA
SG200,Initial,1X,3.8,20210623,NA
U20.LD.1,D,1X,3.9,20210623,200
U20.LE.1,E,1X,3.9,20210623,200
U20.LF.1,F,1X,3.7,20210623,200
U20.LD.2,D,1X,3.8,20210623,200
U20.LE.2,E,1X,3.7,20210623,200
U20.LF.2,F,1X,3.8,20210623,200
U20.LD.1,D,1X,3.6,20210623,235
U20.LE.1,E,1X,3.8,20210623,235
U20.LF.1,F,1X,3.8,20210623,235
U20.LD.2,D,1X,3.8,20210623,235
U20.LE.2,E,1X,3.7,20210623,235
U20.LF.2,F,1X,3.6,20210623,235
T20.LA.1,A,3X,2.6,20210623,200
T20.LA.2,A,3X,2.7,20210623,200
T20.LA.3,A,3X,2.7,20210623,200
